"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.9166935051133,213.530420711959,74.4088228346392,56.5084884497788,93.4613773098881,1883.31417206073,1654,1573.26363197736,1738.5,1646.5,1425,1633,81.5634664587324
"2002/2003",2003,120,120,100,49.1758199015504,209.935073474434,84.8128610339222,67.177397425218,101.206022494812,1802.25668286308,1516.5,1311.28034506828,1697.5,1454,1597,1450.5,78.7521726725305
"2003/2004",2004,120,120,100,61.2356203635265,265.543512264106,72.3130184196837,74.7592901528416,99.3794442684787,2106.70611879112,1855.5,1672.6782694941,1957,1819.5,1714,1817.5,86.5343650536437
"2004/2005",2005,121,121,100,48.9279718354036,225.810844273769,67.4989762959304,62.024434185084,95.2814623696496,1989.69696673479,1788,1665.31108681735,1844.5,1797.5,1493,1773,87.8657252159559
"2005/2006",2006,120,120,100,52.8719804192023,231.19586362081,77.0249342300503,63.5779928788418,95.0313514448978,1970.2211649276,1765.5,1612.74978333693,1868.5,1744,1613,1741,82.3765464371585
"2006/2007",2007,120,120,100,53.6167257572621,270.177535542451,72.9413679221382,66.0717178750836,98.1754111077167,1916.6576782045,1643.5,1495.40809461228,1789,1604,1516,1600.5,81.7610179686305
"2007/2008",2008,120,120,100,56.5777064389007,234.437374159248,86.2152346226293,72.0090762836165,101.343631455372,1903.93857254106,1580,1325.40429412705,1772,1486,1724,1485.5,77.0005939853978
"2008/2009",2009,121,121,100,50.0393893028194,250.63210995922,70.2644858370707,60.6562206036252,94.9488278455621,1965.9280585495,1771.5,1602.65913654867,1814.5,1737.5,1532,1715.5,84.1260042456659
"2009/2010",2010,120,120,100,64.3229582256095,268.042395985694,72.7183103380572,76.3933472881236,98.9452007157948,2213.28202700379,1940,1722.81206824401,2051,1868,1891,1863.5,86.6080892113202
"2010/2011",2011,120,120,100,62.3154105219167,261.031613294529,74.9119561826608,72.4863233452887,98.2001242074567,2119.16186339972,1866,1685.49890759889,1955.5,1820,1739,1818,82.7487277538244
