"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.5472985839801,174.952937366605,66.2867329013593,45.7387106632305,87.5849437916792,1904.20322600964,1770.5,1732.59474051004,1752.5,1800.5,1265,1769,83.1338866676343
"2002/2003",2003,120,120,100,49.9767662431675,208.477228029292,75.9214887905972,63.2606679572193,96.9067322002037,1971.31758798132,1756.5,1605.28345205437,1812.5,1727,1559,1713,85.2597471660127
"2003/2004",2004,120,120,100,55.401251014418,243.432006381572,64.5709732408806,62.3270173762636,92.2618788023028,2156.94364902891,1976.5,1923.60250510353,2010,1994.5,1600,1982,88.5912436982736
"2004/2005",2005,121,121,100,46.9078615740768,205.397231884743,60.4223174610406,53.6292835987014,87.4753378300936,1881.998727162,1767,1685.32437372111,1758.5,1790.5,1295,1729,83.2957863421129
"2005/2006",2006,120,120,100,44.1533356981341,188.603562162004,68.7785404554796,49.9765601283125,89.1833799426443,1934.05461549406,1843.5,1792.10680953408,1810,1866,1382,1856,86.1426792396894
"2006/2007",2007,120,120,100,48.3253274653319,255.096717131617,64.9877331857593,58.2121750876223,92.6930296866363,2048.70332051675,1871.5,1762.95467410274,1934.5,1858,1560,1845,86.0209645264005
"2007/2008",2008,120,120,100,55.1596975156111,225.018800149609,76.8148181104626,66.0390986293071,97.0482117170493,2116.45760426874,1917.5,1727.01089231811,1984.5,1894.5,1771,1889.5,85.6067531841472
"2008/2009",2009,121,121,100,39.8837987124264,204.060176393171,63.0473534556453,48.4087610805842,88.1934461413287,1871.27125884261,1700.5,1645.64998643688,1702.5,1755.5,1282,1691,83.573688533887
"2009/2010",2010,120,120,100,52.5161361521842,225.0238837136,65.0434510608902,59.6665894436971,91.4999271043132,2167.98395909491,2031.5,1933.96480359941,2029,2045,1570,2029,87.6596980981265
"2010/2011",2011,120,120,100,52.5700729278264,218.295686435365,66.9849667138171,58.4016831261927,91.1624728918158,2137.57167652277,2008,1940.73552772607,1989,2043,1556,2030.5,87.1258520133854
"2011/2012",2012,120,120,100,40.6224756136171,172.976135307998,75.1270362117359,54.248663483896,93.7978999822239,1783.94377402613,1553,1430.62718012027,1652,1533.5,1360,1503.5,77.5335479371142
"2012/2013",2013,121,121,100,56.2349248918086,246.196202585654,68.0258208097644,62.8506892290993,93.3484740922949,2153.70974387902,2006,1921.80212790751,1993.5,2047.5,1596,2036.5,89.388302466399
"2013/2014",2014,120,120,100,37.4858668495018,158.224057245284,79.5837797571875,54.4853964462554,95.6935729988313,1653.37719656451,1401,1338.33796363691,1533,1399.5,1208,1387,78.1946003341379
"2014/2015",2015,120,120,100,45.2743661710793,194.688708217128,66.554492498013,53.2975956434574,90.0525114797002,2022.23258611361,1906.5,1834.85607696056,1885,1932.5,1474,1907.5,85.6375609799634
"2015/2016",2016,120,120,100,39.9312943416961,170.143075541535,69.4482021594515,52.9793295777916,92.1268777338478,1842.48489306682,1713.5,1607.21685569348,1746,1691,1360,1679,82.2560235611768
"2016/2017",2017,121,121,100,40.6806421283913,195.566025649399,65.5318437973767,51.6533526289149,91.1382983439829,1912.42904823258,1757,1635.58290901511,1757.5,1745.5,1376,1690,82.7464877807633
"2017/2018",2018,120,120,100,49.567131834105,202.140061601092,74.8305748490202,60.4204967396558,93.6679441709625,1936.29296154344,1744,1609.1774458408,1814.5,1719,1514,1706.5,81.167625968852
"2018/2019",2019,120,120,100,47.6304170337585,176.061441184972,70.7930690569937,58.692357270239,93.378921774404,2022.40094021701,1799,1755.2808538902,1843,1841.5,1420,1825,85.6725360531705
"2019/2020",2020,120,120,100,38.0110126875949,171.236999230428,61.2121754531635,45.6300325454212,86.9777332135817,1879.39898892776,1778,1749.0764278364,1712,1816.5,1229,1769,83.0094440228827
"2020/2021",2021,121,121,100,54.9659632145422,230.674928810797,73.9800806633166,67.5566861156798,97.663205065811,1961.48573511835,1748,1582.64473858002,1832,1694,1571,1683.5,84.1972362063061
"2021/2022",2022,120,120,100,42.9752420467027,176.841365544767,69.9831138192973,54.3360894223618,91.287645426431,1841.13235636354,1633,1504.73205333396,1671,1649,1406,1576.5,78.4200106488602
"2022/2023",2023,120,120,100,54.621365937801,196.170132794502,66.4326350493052,62.0579842579286,92.1788427436887,2202.77150719578,2098.5,1982.35018007086,2070.5,2102,1678,2095,89.4071157824733
"2023/2024",2024,120,120,100,45.88177369642,221.82041849738,58.3666559846875,50.0232819487322,85.9239771527717,2074.97022060887,1969,1906.83048979858,1908.5,2024,1463,1957,85.4177721030969
"2024/2025",2025,121,121,100,52.2210200045668,208.444768772638,69.3179229010975,62.3843872400429,93.6964666169351,2145.80379201393,1990.5,1840.93397624843,2016,1959,1672,1948.5,86.8278612220847
"2025/2026",2026,120,120,100,37.3683010455746,178.406099991965,85.4196729268933,54.4254601311263,97.6936313830114,1658.49045896879,1357,1216.05881843209,1528,1297.5,1374,1293,75.3304422039432
"2026/2027",2027,120,120,100,46.482211630141,215.359685200643,62.1138408015267,54.771082035981,89.7945489448194,2013.95879272507,1896,1847.37382927431,1870,1922.5,1390,1902,87.1415137404056
"2027/2028",2028,120,120,100,55.6484837655958,192.151911071321,79.1342955120776,70.7153061237358,98.7997708267324,2061.25430060932,1791.5,1595.0521582415,1928.5,1737,1744,1732.5,83.6318246583755
"2028/2029",2029,121,121,100,51.3445303029446,237.602986236223,66.4101534555456,60.7385904044577,92.5705989206614,1956.4428461448,1818.5,1641.70721226845,1843,1775.5,1519,1746,84.7175471084056
"2029/2030",2030,120,120,100,46.1447000527943,204.979868380089,70.1348813475958,56.7125206749405,92.9986029010174,1983.94460041271,1752,1678.73202320222,1830.5,1763,1506,1736,86.4592972208102
"2030/2031",2031,120,120,100,55.5451408279356,254.267293750865,67.2551539049483,62.7363664455981,92.817819832928,2032.02257149042,1840.5,1764.96729431316,1869.5,1869,1535,1850.5,85.7865349883987
"2031/2032",2032,120,120,100,45.7284132544244,222.909294618557,61.8103750765024,53.0261518111831,89.2832854472757,1970.52450662064,1852.5,1820.5131837638,1844.5,1883.5,1353,1869,88.8533580494768
"2032/2033",2033,121,121,100,50.5484731311551,199.714321555434,77.2855784053962,64.8208453013857,98.589151927482,1965.14032099181,1734.5,1603.93091254687,1832.5,1719.5,1540,1719,84.5845952482014
"2033/2034",2034,120,120,100,48.2901770099335,220.83999866371,73.5825693172516,60.3068893411328,93.816208426295,1911.31745290961,1706.5,1531.32045158364,1776.5,1687.5,1554,1651.5,80.5644584850252
"2034/2035",2035,120,120,100,46.1708204366342,188.932465940972,71.6642966365265,57.4935230780667,92.8259188038635,1931.93992888014,1721.5,1591.68940981507,1771.5,1717.5,1481,1673.5,82.2820020118515
"2035/2036",2036,120,120,100,46.5668530617881,199.95529247792,69.5397597903669,53.7017635527731,90.9935479336885,1991.52830789321,1842.5,1794.89182235707,1856,1849,1428,1838.5,87.8049348144541
"2036/2037",2037,121,121,100,48.7703954249697,204.558079910358,75.6209819097911,64.2673658994426,97.7084383828813,1986.8492820246,1725,1598.30734362896,1828.5,1693.5,1570,1679.5,84.3669488881997
