"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.780226184769,191.029802570659,72.2189500191797,50.2446842291786,90.9486230470149,1805.96768085153,1595,1546.30694837312,1664,1603,1289,1577,80.6388248313862
"2002/2003",2003,120,120,100,46.7222393617348,205.976918718648,82.0361482623904,62.9104910002355,99.4711868606545,1824.55848033508,1569,1388.9251478325,1700,1514.5,1554,1506,80.6847612210067
"2003/2004",2004,120,120,100,62.6928430949944,266.078593943284,69.5933515279069,72.4668602448245,97.0777171821203,2139.29383530627,1919.5,1774.40420735299,1967.5,1911,1658,1908,88.2766137393284
"2004/2005",2005,121,121,100,51.192327827341,232.37126981085,64.6508103230853,61.897256338313,93.4342194097928,2044.59541357935,1849.5,1761.2763654349,1888.5,1883.5,1501,1859.5,88.3464702863796
"2005/2006",2006,120,120,100,50.6088689232575,229.392729505993,73.9577138254392,60.8360291421928,93.992730831768,1949.96407196008,1786,1631.7183384901,1845.5,1742.5,1573,1737,83.3546945101064
"2006/2007",2007,120,120,100,50.5352585143898,266.713004591444,70.3874789787256,61.1046299322137,95.6166606532046,1921.27070539465,1702.5,1570.08099007174,1804,1666.5,1509,1662,83.1829029184361
"2007/2008",2008,120,120,100,52.820706846456,228.339187438209,83.1622355517181,68.4923386249048,100.087198647556,1943.25374537196,1661.5,1420.46909649515,1825,1575.5,1713,1573,78.5157172054199
"2008/2009",2009,121,121,100,46.5380936526454,246.32439051176,67.4165824031148,56.9722550589261,93.3484618199038,1988.51294739578,1793,1665.92575213593,1828,1794.5,1500,1772,85.5189427149653
"2009/2010",2010,120,120,100,64.4799843092212,270.554215019367,69.8629037326208,73.673565278095,96.9510072685907,2288.34741283012,2084.5,1864.02731054276,2139.5,2030.5,1899,2026.5,87.3728185195632
"2010/2011",2011,120,120,100,59.3937160951467,256.085990451579,71.7161474152166,70.1634659494874,96.8351578843108,2136.60167448125,1903.5,1758.46610010488,2002.5,1880.5,1725,1877.5,85.6749859845115
"2011/2012",2012,120,120,100,41.1219745802614,189.066705207595,81.3422824498543,54.6320616046136,96.0746813181981,1709.63864614602,1469.5,1328.56091510203,1590.5,1420,1367,1403.5,77.1825961190302
"2012/2013",2013,121,121,100,59.782843776029,265.3911199585,73.1723665592951,72.6497837121865,98.7006116683082,2093.53489963207,1855,1678.57375098279,1946,1807,1742,1796.5,85.5285910965447
"2013/2014",2014,120,120,100,27.8084048716733,128.542021073303,86.0967312271991,44.3169032899237,96.2179910066309,1422.39789067391,1185,1129.42745586578,1286,1179,1002,1169.5,73.6552420717924
"2014/2015",2015,120,120,100,49.7596523808814,217.350975361381,72.3308976956468,60.5557778470807,93.6865923483801,1960.55523037713,1800,1625.35851093455,1853,1769,1565,1746,81.73816003461
"2015/2016",2016,120,120,100,43.4666005851276,188.519921885094,74.7786065417493,56.3271110324642,95.4889077352601,1837.57743571451,1639,1509.00584276023,1740.5,1597,1473,1594,82.7867081662744
"2016/2017",2017,121,121,100,39.4378242995849,202.029616997536,71.1502232021158,53.1084692407934,93.8687530379776,1788.09095421247,1580,1446.96847884052,1646,1553,1347,1505,79.2717539277032
"2017/2018",2018,120,120,100,48.05265753458,204.997302862948,80.8150466957373,63.489313396661,96.8843426484749,1827.62077112796,1594,1407.23841059345,1698.5,1527,1512,1519.5,80.4812558396193
"2018/2019",2019,120,120,100,50.4512496776832,189.515553558734,76.9435908207167,63.5734906279386,96.5550260967299,1953.56155600229,1707,1577.24320405349,1806,1699,1549,1685.5,83.7863564099457
"2019/2020",2020,120,120,100,46.5188862766265,221.40020585729,65.8311870288462,56.6053728598537,92.2501628510987,1984.36650087863,1826.5,1720.67488750775,1848.5,1850,1497,1813.5,84.0219503494127
"2020/2021",2021,121,121,100,51.586546941662,230.592792718124,79.9116901870353,70.4349817252136,101.288628820163,1833.27540465861,1537,1358.776024068,1728.5,1461.5,1569,1460,81.4129110587546
"2021/2022",2022,120,120,100,45.7314446550665,189.173798811069,75.8573292494282,60.9001601636163,95.078145446005,1754.37244921265,1478.5,1266.46461546681,1597,1466.5,1439,1401,74.6428019148293
"2022/2023",2023,120,120,100,56.4773913936413,226.248126384619,71.6928697030138,70.9097863084932,97.9462978505681,2188.89433211714,1976.5,1764.9185736069,2072,1913.5,1855,1909.5,86.8794257742561
"2023/2024",2024,120,120,100,48.7351127010976,242.120549010171,63.1926060664883,57.815131373395,91.3459096511007,2073.19551358544,1926.5,1778.59641500807,1925,1928.5,1556,1890,85.6710833613561
"2024/2025",2025,121,121,100,52.6965116862539,233.717927875367,74.6846288921817,67.1587889626611,97.9480655855232,2083.16812661631,1833,1674.42327297577,1963.5,1796.5,1714,1790,84.6839177858988
"2025/2026",2026,120,120,100,34.89814157999,178.993745866031,92.8832793083287,49.5296207152134,97.2636331282057,1466.31129541772,1199.5,1051.19480485097,1344.5,1139,1211,1134.5,72.8010239916662
"2026/2027",2027,120,120,100,47.5355087425221,235.963276305743,67.0819328219642,60.8265121828687,94.6567388809088,1993.39604826734,1798,1684.00032073816,1861.5,1800,1510,1781.5,85.8817878847403
"2027/2028",2028,120,120,100,55.7207594655668,209.242354202793,84.9224549364383,75.2511591940235,102.959412455251,1988.86378099903,1631,1394.28618811049,1849.5,1535.5,1803,1535.5,81.8798928597416
"2028/2029",2029,121,121,100,48.8853215791628,251.719864484031,71.7296539409573,62.2579723238166,96.6917576597963,1895.45553894746,1678.5,1493.25223212323,1790.5,1620.5,1547,1610,83.2089342706981
"2029/2030",2030,120,120,100,43.2209999669397,202.910578888954,76.2782897733587,58.0266771932859,96.0393178761635,1797.10663430644,1546,1414.28080307251,1657.5,1518,1402,1494.5,80.8436569807895
"2030/2031",2031,120,120,100,55.49854034209,249.134893733174,72.5682291583231,67.9970119408259,96.8679281632121,1901.28906719609,1664,1516.6592509852,1755,1642,1508,1627.5,83.7223208145851
"2031/2032",2032,120,120,100,54.1009333692325,259.576643350884,66.5473755832762,63.5006591749643,94.066045727852,2048.70954274337,1905,1759.65111640861,1933,1878,1579,1867,87.3010274172193
"2032/2033",2033,121,121,100,48.3099674959436,204.575685695926,83.5420792552335,66.240151321437,101.43345437023,1836.82373841964,1541.5,1384.11031031171,1693.5,1483,1546,1483,81.7749125887885
"2033/2034",2034,120,120,100,46.0233642502262,219.278834005135,79.681491718036,60.3767690644746,96.1732442537966,1756.38860883431,1498.5,1324.46692746054,1631,1441,1454,1418.5,78.8831601702987
"2034/2035",2035,120,120,100,43.764871656904,185.65846817346,78.0942099499457,58.2968808505389,95.6252017623075,1767.11861217937,1497,1333.79251981345,1630.5,1465,1447,1423,77.1511049289247
"2035/2036",2036,120,120,100,45.3327354711596,209.610040976195,75.6356205308002,57.6249805847738,94.4815541156917,1896.73742734019,1664.5,1582.03132706176,1742.5,1669,1415,1661,82.7330431903547
"2036/2037",2037,121,121,100,49.2542877628623,214.275688858144,81.3749840735698,69.1467047782449,101.484324645438,1872.75356698055,1551,1365.56680628196,1735.5,1500,1609,1486.5,80.778057905678
"2037/2038",2038,120,120,100,49.870886791716,206.789341230918,72.9696928944855,62.2246816019032,95.1111843423753,1973.98239743165,1766,1642.5468493726,1839,1734.5,1554,1726.5,84.4795387858376
"2038/2039",2039,120,120,100,40.5658404641394,208.852962058936,64.4975336164718,50.6897162744162,90.6517103334537,2042.60152556833,1917.5,1864.58324572176,1904.5,1936.5,1454,1921.5,88.5243844812903
"2039/2040",2040,120,120,100,54.8748181895724,234.550568602269,69.5350523447002,67.7525632093367,96.1346337947865,2048.69483775327,1815,1637.99340417708,1913,1793,1636,1767.5,87.5397210843848
"2040/2041",2041,121,121,100,53.2925167834495,244.511335449752,70.4023826172702,66.4363392908121,96.5185029061443,2129.61644429882,1948.5,1764.94030925808,2000.5,1892,1730,1887,86.9868411835323
"2041/2042",2042,120,120,100,42.095710898667,161.245298508739,71.5331693586494,48.1305003303744,87.8298722215605,1989.72691639466,1863,1868.12800364132,1838.5,1925,1363,1904.5,86.1461098692753
"2042/2043",2043,120,120,100,53.013365001754,238.107269838863,80.3581444824441,71.8868333755765,102.169029183816,1884.46516907049,1517,1328.31175301099,1740.5,1448.5,1654,1443.5,81.3215363535228
"2043/2044",2044,120,120,100,59.0308016974458,257.839006638232,68.9648075570049,68.5020266286044,95.6854673078637,2190.2841706257,1991,1847.09345027153,2053,1999.5,1744,1989.5,88.7307547236514
"2044/2045",2045,121,121,100,48.9282082701903,211.957993862796,86.2140298527579,65.195311556014,100.003789521028,1816.61453930903,1542,1376.76089966444,1690.5,1498.5,1553,1495.5,79.6037439369084
"2045/2046",2046,120,120,100,47.9816143673347,228.07764730226,74.5056858170657,61.8499889395123,95.9898863358141,1835.98313372236,1600,1399.69189027491,1702.5,1588,1507,1538,78.789350502916
"2046/2047",2047,120,120,100,46.6572190652425,202.706611727867,83.4778984481029,56.3604438970536,93.343714746608,1846.84909154853,1662.5,1512.61350239987,1727,1641.5,1483,1628,80.2599643882304
"2047/2048",2048,120,120,100,59.1101358854769,232.386596351642,75.6643082533893,74.2061395304612,100.1824717113,2120.07531737947,1839.5,1646.67917175388,1983.5,1781,1813,1781,86.007647297517
"2048/2049",2049,121,121,100,58.3820936984698,246.784067264441,77.4426698918785,75.0552332263766,102.239175352203,1959.41260441157,1660.5,1440.30300996991,1832.5,1581.5,1666,1578.5,82.9435501066691
"2049/2050",2050,120,120,100,60.0302953684144,246.876616049264,82.3327164318577,80.5897080729624,104.314555835316,1938.70189093746,1540.5,1308.7115826809,1823,1439.5,1767,1439.5,82.3017458264167
"2050/2051",2051,120,120,100,48.8822927496036,218.49492337192,74.0801211457343,64.0305903623328,96.5883584180866,1814.08766689221,1521,1339.1583452624,1680,1425.5,1501,1402,78.8870559919596
"2051/2052",2052,120,120,100,46.5750172806269,211.309338850384,72.4971718193183,54.6244844437682,89.5994841552289,1892.74536821508,1727.5,1599.96063247088,1746.5,1740.5,1425,1699,79.8639282898057
"2052/2053",2053,121,121,100,46.9761071233954,200.727653016382,72.5277563481783,57.8474399599725,92.9139621574029,1983.76588869246,1804,1667.33003648035,1847,1781,1530,1755,83.5072066409848
"2053/2054",2054,120,120,100,47.7246324705612,222.231140778354,67.9804771907606,60.2620116946054,93.8349276155163,2079.99726972604,1893,1755.31851731005,1941.5,1867,1635,1855.5,86.2714827161753
