"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.3925003429547,189.529963808879,70.8464036083433,50.8422840774071,90.4587514294171,1824.79231421204,1617.5,1563.46416547275,1678.5,1619.5,1323,1589,82.4256751800227
"2002/2003",2003,120,120,100,49.2262354303691,213.879338432251,80.2620781128599,66.6964567370808,99.8539201729471,1899.26546501436,1631,1470.64687945826,1777.5,1605.5,1624,1600,82.0500383593944
"2003/2004",2004,120,120,100,55.3523394854829,249.901651693191,68.6543178498249,66.3004778417781,95.7406692164771,2095.60065376154,1843.5,1773.41147277086,1928.5,1879.5,1584,1875,88.8652558103901
"2004/2005",2005,121,121,100,43.7452108992337,204.74837871405,64.2720975792681,54.8058696847578,91.2811680235538,1903.63450059772,1739.5,1668.12674669734,1758.5,1748,1331,1709,85.727683287762
"2005/2006",2006,120,120,100,47.3484579660765,211.886377544512,73.6157587396076,54.8446105105258,91.2841989301945,1940.30321347439,1815,1703.90262660339,1827.5,1793.5,1512,1787.5,83.8156804915899
"2006/2007",2007,120,120,100,47.3760529509625,251.799169295171,69.2586523737425,60.9004820451975,95.5850029878399,1898.51629869487,1668.5,1537.76997143279,1793.5,1613.5,1481,1604.5,82.6296707677167
"2007/2008",2008,120,120,100,55.4433504806901,228.977063300946,81.8864982112139,68.9489419791981,99.1256923746601,2005.19314665933,1748.5,1516.6130559111,1901,1687,1775,1686.5,80.9119871463359
"2008/2009",2009,121,121,100,47.1002687134261,234.323914000634,67.0291358967024,54.6088249188993,91.1560352526349,1931.6399533709,1772.5,1646.44269820816,1777.5,1782.5,1426,1736.5,83.1945552548593
"2009/2010",2010,120,120,100,57.2656659439747,246.609875411014,69.1411838084916,67.2686840604601,95.2551671449568,2210.49266359946,2007,1844.91477671889,2038,2000,1717,1993,87.7321088001688
"2010/2011",2011,120,120,100,54.7170956488937,239.66632629646,71.5147242949974,62.4470196465887,93.9461741994324,2092.12938091263,1929.5,1808.49703297833,1962,1931.5,1615,1926,84.1155852660872
"2011/2012",2012,120,120,100,41.2973719151397,175.924269211941,79.9865053458821,55.4653353157715,95.6132841483969,1720.51548308507,1475,1334.2203406742,1586.5,1461,1338,1433.5,76.1653533729379
"2012/2013",2013,121,121,100,53.5861425051318,245.491164447025,72.6848052779816,65.1622102079196,96.4728804812593,2061.87786590883,1883,1732.9316388392,1924.5,1857.5,1641,1850.5,87.0849608298049
"2013/2014",2014,120,120,100,31.0851547774667,138.454650116014,85.5388104059525,48.8890552308105,95.5903745469944,1439.89040144433,1215,1129.68997726092,1340,1175,1056,1160,73.6468967218907
"2014/2015",2015,120,120,100,49.0431071079184,207.733571389116,71.1134022162674,59.352360618739,93.2488557323039,1953.16686374851,1772,1610.31668095012,1822.5,1752.5,1552,1723,83.2703289945273
"2015/2016",2016,120,120,100,42.841335082433,180.436955907682,73.991148092632,54.9648500500042,93.9956068860324,1814.08553204667,1643,1486.60643615458,1728.5,1601,1447,1591,79.8576174798095
"2016/2017",2017,121,121,100,44.3541223795528,212.415849180261,69.8079176181736,57.3043086024764,93.7731128821684,1827.44874776666,1603.5,1463.84323754489,1682,1577.5,1426,1517.5,79.0719553196714
"2017/2018",2018,120,120,100,46.237136574415,193.760818619353,80.0746234427312,61.4163764154646,95.7331061754429,1786.91894487123,1545.5,1390.45208726275,1656.5,1509,1424,1494.5,76.8853518240271
"2018/2019",2019,120,120,100,45.1735362933423,177.78497319053,75.6017366327473,59.9650530181219,96.1045821288722,1901.74383346011,1635.5,1554.5017450182,1775,1618.5,1480,1604,82.2033744306409
"2019/2020",2020,120,120,100,43.68406411051,199.906390902285,64.9534312215974,53.9111398024943,90.8600679065246,1940.79585448935,1779.5,1700.00934248516,1792,1807.5,1446,1765,84.5627584200997
"2020/2021",2021,121,121,100,50.4166902341876,216.493355719797,78.624500166311,67.93316261843,100.590129600706,1824.82298397084,1543.5,1384.31109225889,1686.5,1491,1487,1487.5,81.4491089356643
"2021/2022",2022,120,120,100,41.9773096325124,171.688361694174,75.5227594895472,53.550374936081,91.9182738772752,1682.38873674814,1458,1277.7379906929,1512,1468,1321,1386.5,74.3171921449925
"2022/2023",2023,120,120,100,52.8779541169125,196.622739873914,70.9135024985386,64.2892569546607,95.2830252153118,2134.22780626084,1990,1810.8540505253,1999,1955.5,1697,1952.5,87.2301561489458
"2023/2024",2024,120,120,100,47.8516979036539,230.671270722986,62.1676749804449,56.8883441634441,90.3265425396697,2032.08082912087,1881.5,1766.28004413777,1901.5,1882.5,1511,1840.5,85.3152613577631
"2024/2025",2025,121,121,100,57.0140707666729,235.533576810739,73.4904047023619,68.5593537259979,97.0739405767346,2127.18123548952,1897.5,1747.32964660539,1975,1856.5,1715,1851,86.7647672343928
"2025/2026",2026,120,120,100,36.5635208135454,175.667535150147,90.9935912747487,52.8293359357058,98.0485553954845,1509.60950161278,1228.5,1056.79914611832,1397.5,1136,1285,1130.5,71.9238284353837
"2026/2027",2027,120,120,100,45.3411537212749,227.398926844378,66.0761944720073,58.0787318004526,93.1684448286484,1975.80825253097,1805.5,1719.38727173538,1831,1786.5,1458,1776.5,87.2741836283885
"2027/2028",2028,120,120,100,51.4097028564539,188.775722170792,84.3517634912719,67.3665414221557,99.9438908902845,1908.52477671627,1612.5,1430.7631576993,1777.5,1566.5,1628,1566.5,81.4287292451277
"2028/2029",2029,121,121,100,43.2857282481364,221.938214651063,71.0114717502427,58.583913997291,95.4065248863544,1823.91453350322,1598.5,1431.84468959304,1701,1536.5,1445,1510,81.5275144870957
"2029/2030",2030,120,120,100,45.7140204508426,207.509669856396,74.4990431035941,60.2543297752426,96.1853429875077,1879.43093244726,1636,1502.10358505963,1737,1615.5,1422,1600,82.3496489850713
