"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.7810304765324,188.285101831868,67.4930989340073,48.3532161786438,88.6418776050706,1856.18613914602,1696,1615.73668083998,1696.5,1699.5,1278,1659,81.5976132747585
"2002/2003",2003,120,120,100,50.0605239339434,221.251980717902,76.7160690870589,65.8991619756286,98.4887432488714,1945.58943368308,1708,1550.39933734875,1811.5,1687,1589,1680.5,84.1481183360953
"2003/2004",2004,120,120,100,54.1633314773553,251.088801502655,65.5293622760567,63.1403356235368,93.338226055005,2096.16156636327,1882,1832.59334006517,1931,1910,1546,1899,87.311462071094
"2004/2005",2005,121,121,100,44.3601808895326,209.111756924877,61.2257569893116,53.7331580214686,88.8515423972311,1872.26610125006,1735.5,1660.48403320973,1727,1751,1282,1693,85.1168306484407
"2005/2006",2006,120,120,100,45.1454785643316,208.093119438857,69.9643105062548,50.7836686533259,89.8433923498476,1928.17606876716,1830.5,1745.65689365325,1825.5,1838.5,1441,1827.5,83.5539166776698
"2006/2007",2007,120,120,100,46.8816993284094,259.80431247778,66.049410294071,58.5004955399703,93.4991426619675,1938.45084184874,1754,1616.60521473998,1840.5,1697.5,1494,1680.5,84.4215428950148
"2007/2008",2008,120,120,100,54.6663103065525,232.263826968753,78.0715171242575,65.5070565112454,97.594253827813,2050.29248498906,1848,1624.11469010713,1946.5,1788.5,1760,1785.5,83.343204689783
"2008/2009",2009,121,121,100,43.5363096181317,229.903120043871,63.76624034473,51.0064473210303,89.2527571396652,1906.71812546373,1747,1648.53451453783,1760,1779.5,1349,1715.5,84.12562795182
"2009/2010",2010,120,120,100,54.7678091943299,247.86142578791,65.8671654296064,62.9178404277402,92.9748766339587,2199.72833552898,2029.5,1908.27132562608,2051.5,2044.5,1659,2032.5,88.1450960759651
"2010/2011",2011,120,120,100,51.8148486019165,234.946620184238,68.1112075265149,58.5538089036599,91.9494959281273,2087.35372148109,1954.5,1861.04265410996,1964,1967,1550,1958.5,85.8801680595207
