"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.758047418712,171.894366549283,66.4231912467881,44.3610876321957,87.0452227260554,1751.12116198914,1584.5,1540.51972594665,1597.5,1582.5,1154,1535.5,78.977262606638
"2002/2003",2003,120,120,100,47.101935571573,215.960436136293,75.2940557203107,61.7589549007599,97.1767354168043,1927.53437306715,1705.5,1578.09157062514,1782.5,1671,1537,1659.5,84.7558703932059
"2003/2004",2004,120,120,100,54.1691810003778,258.879536220196,64.0365854944001,61.8895859161475,92.3511270531687,2096.91566387338,1890,1857.72876906054,1937.5,1932.5,1540,1921,88.4975899064119
"2004/2005",2005,121,121,100,44.5392533348705,212.969815674865,59.7812918504099,52.2126158268643,87.9482676924239,1903.07694257869,1762,1705.84556877477,1736.5,1794.5,1273,1738.5,86.1148956721516
"2005/2006",2006,120,120,100,43.1437304666228,199.953663080627,68.5992556532417,48.8798334921026,88.8363175196176,1883.00532458078,1811,1716.17512031546,1785.5,1795.5,1393,1782.5,83.5643773924828
"2006/2007",2007,120,120,100,45.1245365828474,258.618864526987,64.6640914021777,56.1971607125453,92.4831955608982,1912.16967301285,1753,1610.1688904899,1823,1699.5,1458,1682,84.0907173419899
"2007/2008",2008,120,120,100,52.8246098595254,228.963812483862,76.6372229432096,64.3927157024705,97.0488566145792,2062.00686700934,1864,1651.28916917385,1950.5,1804.5,1734,1800,84.2459431352605
"2008/2009",2009,121,121,100,39.2772731298299,220.297374395717,62.5104736590219,47.0409260963465,87.9639507697371,1894.66344164503,1746,1668.9886690198,1729,1790.5,1304,1722.5,83.5900297338928
"2009/2010",2010,120,120,100,53.5936402411874,242.868021309281,64.5911341944949,60.7025844574939,91.8659289362045,2212.44169141312,2076,1961.77490184942,2061,2106.5,1626,2094.5,88.2532194569628
"2010/2011",2011,120,120,100,49.7617128900612,233.105882154872,66.5436148583428,56.4253765879427,91.3195861179712,2075.03294521586,1942.5,1867.31440198893,1962,1958,1542,1949,85.5962243286751
