"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.6210323751631,168.432940025565,69.2368092482487,45.3246970616788,88.1620370493973,1754.67628533694,1570,1545.05795047751,1612,1576,1173,1539.5,80.668798428258
"2002/2003",2003,120,120,100,46.8212612693489,207.655842911916,78.3201019130283,61.3951304441999,97.7190637006738,1903.95557982305,1665.5,1539.91679701936,1773,1646.5,1555,1639,82.6318286994156
"2003/2004",2004,120,120,100,57.3488817908063,257.409812937816,66.4362263306136,65.7574914116164,94.2126037295917,2140.94582515099,1921.5,1853.53613443933,1980,1947,1619,1943,89.8023814953626
"2004/2005",2005,121,121,100,46.0745837854856,213.42509340614,62.0047972572846,54.6459770413882,89.8568126675594,1959.20523790501,1807,1747.10893929585,1808.5,1834.5,1354,1797,86.930054987522
"2005/2006",2006,120,120,100,44.681270723118,199.937966172225,71.3422045027077,51.789570226311,90.2324666968984,1901.60928398026,1808,1695.45798587072,1807.5,1770,1468,1760.5,84.135715616566
"2006/2007",2007,120,120,100,47.0558241873014,253.532839521806,67.1823529008734,59.1007669887811,94.1382433859721,1932.51884120417,1744,1601.38508671816,1840.5,1682.5,1479,1672,84.1132309662147
"2007/2008",2008,120,120,100,53.6903762933612,225.355642221899,79.5636270959538,66.8581937624451,98.3082451108436,2048.23645917988,1818.5,1587.57413966933,1927.5,1733.5,1764,1732,83.3958317253588
"2008/2009",2009,121,121,100,41.2286562957774,217.753947470434,65.0570325075593,49.0960422077777,89.3362936114103,1920.24551101339,1778.5,1682.03644189583,1759.5,1803,1343,1753,83.8033357639695
"2009/2010",2010,120,120,100,56.1245902221662,241.509870911704,67.0597695460929,64.2813011382862,93.5429970752141,2235.094775895,2089,1929.89518518197,2077,2087.5,1709,2081.5,88.155359158068
"2010/2011",2011,120,120,100,52.4842325268459,232.885538122331,69.064252189679,60.440469388447,92.9947727009616,2107.90736884004,1936.5,1855.58264334789,1978.5,1965.5,1574,1958,85.5056401183906
"2011/2012",2012,120,120,100,39.8269330506318,172.881919646388,78.1674852359199,52.1972683062696,93.5103476493371,1713.87689166693,1477,1360.65466575127,1576,1464,1320,1431.5,76.273508198065
"2012/2013",2013,121,121,100,55.5502501842464,246.805756577196,70.270142180629,65.0852008652341,95.2021807733655,2092.67332481377,1909.5,1792.52229418951,1940.5,1914,1625,1903,86.8329623480861
"2013/2014",2014,120,120,100,28.7311039114722,133.278444586046,82.844856036688,46.3709532753377,94.7439805320609,1440.12115503642,1248,1162.16591848379,1340,1205,1039,1189,74.0353814483988
"2014/2015",2015,120,120,100,47.9550816410025,197.626219265831,69.2730813535955,55.1940224088151,90.6012232488234,1949.04461530461,1826.5,1685.0478558158,1823,1825.5,1461,1793,81.4466052044152
"2015/2016",2016,120,120,100,40.4715258656928,172.964752004659,71.7721045645964,53.136574423819,92.8394175901269,1794.99606729444,1658.5,1511.82853977269,1709,1600,1398,1587.5,80.2445529213308
"2016/2017",2017,121,121,100,41.3226810134953,203.013379711774,67.8313840485759,53.1452133009222,91.9652679868375,1824.83293237782,1636,1497.14564880564,1667.5,1616,1391,1552,79.124024685666
"2017/2018",2018,120,120,100,47.2166484642027,194.815764202996,77.7525634927666,61.4586593531664,94.5801648685516,1812.85994660995,1589,1436.67663288281,1679,1547.5,1436,1529.5,78.5621467480946
"2018/2019",2019,120,120,100,47.9604973516821,183.744572117115,73.4291381535102,60.631931520721,94.5836740665239,1948.70408820183,1711,1628.17764046795,1804.5,1685.5,1498,1668,84.1739045223535
"2019/2020",2020,120,120,100,42.609350886427,190.683705892652,62.9544576057624,51.8709730581484,89.4164636662625,1947.03405935429,1792.5,1739.39182974942,1790,1845.5,1364,1795,84.414359787494
"2020/2021",2021,121,121,100,51.559352138578,221.338887994,76.6885421456894,66.5604208947712,98.4618461631585,1860.12604338348,1600,1472.7045185706,1726.5,1576.5,1489,1570.5,82.5226161617725
"2021/2022",2022,120,120,100,41.1525082372234,170.303733074593,72.998147110158,54.8265286809878,91.852249338504,1706.69418896129,1460.5,1284.94332212939,1548.5,1490,1329,1400.5,76.5177264078943
"2022/2023",2023,120,120,100,51.5109330999173,189.024891121615,68.8964214986906,62.9299778277763,94.0239622645328,2107.95092927282,1953.5,1801.41818123723,1974,1928.5,1639,1921,87.749863033971
"2023/2024",2024,120,120,100,47.3204931746372,226.22165036874,60.3239793440952,53.8093624611251,88.3812634470055,2042.13010242049,1915,1801.57438717875,1898.5,1938.5,1480,1884,86.248497332333
"2024/2025",2025,121,121,100,55.0034192101799,229.654459171162,71.2463026101614,64.8499404440471,95.2478770870855,2154.71626717791,1960,1834.27742155095,2007.5,1946.5,1664,1941,87.2902933186306
"2025/2026",2026,120,120,100,39.5713767606372,183.984035801809,87.901304588967,56.3028108665273,98.3371959108179,1607.3323336398,1317.5,1144.27542844813,1485,1230,1372,1223,74.4804221411018
"2026/2027",2027,120,120,100,46.7127113688472,228.868905025078,64.1027127858145,57.3387364764933,91.7053446139247,1986.46369969103,1868,1749.0756717511,1865.5,1835,1478,1818.5,86.1989681490459
"2027/2028",2028,120,120,100,52.4556490162793,189.219446565986,81.6962724750583,68.3719976573638,99.3837247872451,1979.59814876129,1697,1518.76465328477,1849,1667,1635,1665.5,81.7036995613962
"2028/2029",2029,121,121,100,45.7073328003663,225.982390682605,69.0458891684919,57.6669170499912,93.3823485482363,1856.0097258975,1668,1490.98150868682,1713.5,1613,1465,1578,82.2972646924986
"2029/2030",2030,120,120,100,44.3646494891959,198.515902086482,72.577012711903,56.8357548099882,94.3013409966055,1866.01878234827,1620,1526.01192638841,1708,1629.5,1391,1605.5,81.4807135773749
"2030/2031",2031,120,120,100,53.1217061871836,251.072875228061,69.5878671964437,63.0049804744465,93.9662769037056,1941.86259662393,1749.5,1647.68401769499,1806,1743.5,1488,1725.5,86.5433496999904
"2031/2032",2032,120,120,100,48.2276389206702,228.900316127847,63.8544872316306,56.4952217147605,90.9195507434059,1969.45417647378,1842.5,1767.74146738209,1835.5,1838,1401,1820.5,85.8866557064875
"2032/2033",2033,121,121,100,50.2100093867206,202.525985787289,79.9334862134384,64.6172410245719,99.2829993296831,1918.29316220435,1670,1520.65830054017,1773,1634.5,1553,1634.5,82.9783172785756
"2033/2034",2034,120,120,100,45.357114698909,209.763705929103,76.6018677447015,59.7164328037245,94.3659441214043,1771.26512752207,1518,1335.46254527081,1637,1488.5,1427,1444.5,77.0184426220767
"2034/2035",2035,120,120,100,42.2334846094984,175.530606745679,74.7781317251576,55.0818250924695,93.0672316054986,1775.14141324584,1550.5,1401.45664638859,1641,1514.5,1431,1466.5,78.9780537690385
"2035/2036",2036,120,120,100,46.0750447321393,197.340642486878,72.1930512511116,55.9674823946921,92.0624575726938,1912.80216659019,1723.5,1665.28582996724,1780.5,1719.5,1414,1706.5,84.5402019301036
"2036/2037",2037,121,121,100,46.8731713778251,200.503875396567,78.0933778228319,64.7390430620523,98.812611807944,1894.46591512913,1592,1463.53457381418,1753,1573,1563,1556,82.9732488289046
"2037/2038",2038,120,120,100,45.5084938588734,187.389365541074,70.4211634485399,54.7649618297397,91.2175196589258,1876.61590494848,1749,1616.75544527617,1767.5,1714.5,1431,1695,80.0171030940455
"2038/2039",2039,120,120,100,36.850097131248,182.219019162949,61.6551601869325,44.9819938500667,87.399748644948,1990.71294835457,1922.5,1904.73931693852,1871,1944.5,1329,1926,88.7612612823696
"2039/2040",2040,120,120,100,55.5186801103066,224.570700953084,66.5920089323379,64.276691433182,92.9223855845638,2073.89224771142,1890.5,1724.18231528866,1910.5,1889.5,1566,1852.5,85.1010254318489
"2040/2041",2041,121,121,100,51.2967131674861,221.71529318603,67.471528443558,61.1480822422383,93.5127945941057,2103.63078370228,1947,1812.39571692435,1955,1934,1620,1922,87.3867222756317
"2041/2042",2042,120,120,100,32.764612204917,124.730899250556,69.1100087380853,38.6878431048722,84.1286293333206,1801.77300600926,1709.5,1769.8393366398,1659,1790.5,1057,1762.5,83.3932600486814
"2042/2043",2043,120,120,100,51.3357177224777,223.313562019408,76.9081451690698,68.7430606959961,100.003451683204,1938.0722669347,1613.5,1433.08382960038,1815,1542,1636,1536.5,83.0467919253861
"2043/2044",2044,120,120,100,50.5622119296145,225.36782529699,66.4122177074119,58.0807760916041,91.786359269784,2104.52963849049,1957.5,1860.74367866633,1956,1983.5,1560,1961.5,88.3770936763603
"2044/2045",2045,121,121,100,47.4802238812856,202.806913360566,83.2677997243173,60.4179078652064,96.7622972933595,1830.67871398275,1587,1474.05094722702,1688.5,1557,1487,1550.5,80.3912173273784
"2045/2046",2046,120,120,100,43.5394230403211,205.573767567701,71.5854688604772,56.094592332805,93.4190320945651,1818.9205817836,1597.5,1434.83488355227,1666.5,1593,1407,1533.5,79.2546171552731
"2046/2047",2047,120,120,100,41.3557350657033,178.129235776144,80.3935291524966,48.9091793418395,90.073808104493,1795.30674836339,1673.5,1572.33042507074,1667.5,1700.5,1325,1679,79.3495523625206
"2047/2048",2048,120,120,100,53.6869132015771,211.091160008262,72.8090610433855,66.0192046535471,96.8829575550525,2098.14771104109,1838,1718.39824887062,1938.5,1826,1690,1824.5,86.764802029239
"2048/2049",2049,121,121,100,50.3664514869422,230.80584518332,74.4017535058454,65.5916577015195,99.0916051527747,1948.8333053219,1662.5,1567.52934099365,1804.5,1653.5,1523,1649.5,83.2460975585136
"2049/2050",2050,120,120,100,63.481649444364,252.521445173123,79.0154220626885,78.4819238152817,101.653282770329,2050.56592876485,1724.5,1492.70666487026,1918.5,1650,1811,1649.5,82.7619160985496
"2050/2051",2051,120,120,100,50.8918396498298,219.9429193805,70.6752238854463,63.9978551918519,94.7519658315864,1871.36737320191,1606,1405.140437678,1737.5,1537,1528,1500,78.6276819900422
"2051/2052",2052,120,120,100,44.8702501296077,204.141438249149,69.3713395591199,50.7279349454903,87.0480666635836,1907.99563176875,1772.5,1661.82667819343,1757,1801.5,1394,1746,81.5210410896607
"2052/2053",2053,121,121,100,46.1901565738612,189.813373676412,68.8715969450973,54.531409241095,90.8424268336279,1987.52247872364,1872.5,1741.09768093011,1857,1852.5,1469,1824.5,83.7037803306748
"2053/2054",2054,120,120,100,43.8755873501518,189.390638715697,65.4123633478324,55.6406272023536,90.9050254503748,1977.14692652936,1811,1702.1369817932,1837,1815,1471,1783.5,83.7147676975301
"2054/2055",2055,120,120,100,47.852587453454,200.531834451995,71.2413753441354,59.6326821209481,94.7507109086956,1991.67889607677,1792,1669.6951455165,1856.5,1780,1529,1774.5,84.8253337871465
"2055/2056",2056,120,120,100,52.2012658403422,211.70925647794,68.9062494940698,65.6588873842661,92.459043943838,1940.75027338116,1617.5,1392.08376188264,1681.5,1652,1649,1516.5,76.6904864083126
"2056/2057",2057,121,121,100,41.501725016017,193.712257416009,77.5512425940315,55.1560485485553,95.6642352683787,1904.43778093849,1667.5,1582.53509137494,1761.5,1664,1464,1658.5,81.3762270070547
"2057/2058",2058,120,120,100,55.9188430884442,237.691081129854,66.1809271045112,65.0402634126971,92.8788791941877,2095.91812463768,1938.5,1808.03170295068,1974.5,1938,1632,1910,85.331490949774
"2058/2059",2059,120,120,100,48.1110532991732,217.507637563647,78.3826287288797,64.2117681352904,97.4020785483761,1857.93165073261,1571.5,1433.90732428054,1733.5,1532,1514,1527,80.1319261531789
"2059/2060",2060,120,120,100,37.4868553873302,171.495125059292,69.879365736145,45.6979770341403,88.1816627346919,1737.48461215125,1593,1523.18080537079,1583,1599.5,1190,1555.5,78.4412008474865
"2060/2061",2061,121,121,100,42.9127590344801,206.509957983485,63.8259215436257,52.4965687794684,88.9825590810294,1793.2655422547,1624.5,1499.05884402527,1655.5,1648,1287,1572,79.4083029605681
"2061/2062",2062,120,120,100,46.7478578707679,192.697639260356,82.8170352907349,65.6511811437056,99.2486807251181,1944.31183576919,1642.5,1454.44074873973,1810,1579.5,1670,1572.5,79.4055793074385
"2062/2063",2063,120,120,100,53.5418385405741,240.903936445987,74.6463177300998,67.7436729046022,97.8808699125847,2027.59707799708,1766.5,1548.31651105476,1892,1697.5,1736,1680,83.5367093246914
"2063/2064",2064,120,120,100,40.0824738148961,175.854099957636,75.2339439614826,56.7056701675904,94.8069742689352,1749.73804407197,1517.5,1429.86329393208,1640.5,1500,1353,1480,81.5304507788569
"2064/2065",2065,121,121,100,54.016313643522,236.873342028963,69.0111677261143,65.4078997655868,95.7965113780257,2141.29332903784,1949.5,1797.41313997582,2025,1922.5,1728,1918.5,88.8177624726413
"2065/2066",2066,120,120,100,58.4479753989532,253.158341016973,64.7669191693385,66.5840279792324,93.6789569867185,2222.79817808128,2051.5,1951.66353536008,2073.5,2061,1667,2054.5,90.7485150287066
"2066/2067",2067,120,120,100,48.0318966769493,206.250645296245,81.9849149475166,59.5124453605185,96.083076209456,1818.44143352058,1603,1441.62493127698,1692,1572.5,1498,1563,79.2109144623282
