"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.9963360345995,187.07272308073,66.4115239233775,45.6246947243583,87.7674671969537,1794.88676078064,1631,1581.89497529459,1646.5,1640.5,1221,1599,82.343477599261
"2002/2003",2003,120,120,100,48.7519925844949,225.156086901491,75.4769429680337,62.6382966084077,97.5143070623838,1920.75874290039,1696,1560.48482633637,1777.5,1677,1547,1664,83.9934439265036
"2003/2004",2004,120,120,100,54.7368346324257,266.83156740902,64.1650467741712,63.0140994433139,93.0598710173852,2100.89577583633,1889,1835.14747895322,1954,1908.5,1563,1895.5,88.1711308898914
"2004/2005",2005,121,121,100,44.3026196869362,220.20176376677,60.0186183885954,52.6046441887062,88.4129003165172,1880.00907716145,1739,1668.91738400318,1725.5,1771,1283,1716,84.7376134180549
"2005/2006",2006,120,120,100,43.6375639359499,208.191929206019,68.7608235072558,49.3764572007416,89.1398877544378,1890.24841078029,1798.5,1710.37069439617,1777,1789,1413,1777.5,83.6799189037074
"2006/2007",2007,120,120,100,47.2415458698145,271.689046070452,64.7041741585448,58.8787574495486,93.4908294810157,1940.82328615988,1745,1607.99265368166,1839.5,1696.5,1483,1680,84.5440587535064
"2007/2008",2008,120,120,100,55.672627764306,244.156762276654,76.8296823738899,66.5240522654763,97.4111971451993,2065.1870629556,1868.5,1636.06061448945,1962,1791.5,1758,1788.5,84.3572004659143
"2008/2009",2009,121,121,100,40.1733304405269,226.982884795728,62.810230192591,47.9894792383117,88.3806596553441,1869.13644346648,1711,1620.1798174009,1713,1748.5,1309,1677,82.4818795724295
"2009/2010",2010,120,120,100,53.4644203938025,248.391292452732,64.8677946839014,61.4889628231886,92.3880013733317,2164.4596619735,2012,1887.5094501649,2014.5,2036,1610,2020.5,87.8185336014421
"2010/2011",2011,120,120,100,50.8322601673859,241.709804409834,66.9122234077178,57.2222374295641,91.5206580548468,2078.75560272476,1938.5,1856.7138102704,1957.5,1958,1519,1946,85.1445703915913
"2011/2012",2012,120,120,100,40.4690013253318,183.169856879205,75.3428188250216,53.141020310805,93.4425228633601,1720.29535614937,1486.5,1359.04288005088,1582.5,1482.5,1337,1443,77.6526422153968
"2012/2013",2013,121,121,100,53.7241348256149,259.778455224118,67.8596632343888,62.2623975298811,93.8655053389828,2065.25588994976,1902,1809.33850681895,1919,1919,1566,1905.5,86.7216917946535
"2013/2014",2014,120,120,100,33.2147135686685,153.788446527829,79.8777237345477,50.4269272816863,94.8906953613873,1506.48176534707,1306,1214.32553605803,1409.5,1276.5,1082,1258.5,74.5243840093765
"2014/2015",2015,120,120,100,46.0218296431016,211.001941878342,66.6313944814823,53.9301411778918,90.1502926160525,1950.24608742208,1823,1702.11889638176,1809,1834,1445,1795.5,83.1295904199883
"2015/2016",2016,120,120,100,40.4453972070762,186.508397837519,69.2693657571439,52.7507200726222,92.1829184200255,1796.14844815854,1678,1522.67296645608,1721,1627.5,1379,1607.5,80.358561021485
"2016/2017",2017,121,121,100,42.0257793162754,220.4053947692,65.2601518910855,53.1903120310155,91.4722200812501,1844.87973602572,1654.5,1522.94322205936,1674,1649.5,1377,1578,79.8733349164545
"2017/2018",2018,120,120,100,48.2155375235863,210.800697626571,74.964707095635,61.2391426436945,93.8535728462671,1820.30367579011,1606,1460.09369099422,1692.5,1569,1442,1547,79.8753847511703
"2018/2019",2019,120,120,100,47.0127000301535,193.675557396674,70.8444530300389,59.2725183618033,93.9619440739607,1947.20450102274,1705,1649.51981899178,1789,1706,1443,1686.5,84.9135921820757
"2019/2020",2020,120,120,100,40.6778449735342,195.703315743001,60.7990174012535,49.1417396878044,88.1080100292535,1897.56512056229,1763.5,1710.80965546933,1731.5,1806,1288,1753.5,83.6375322196864
"2020/2021",2021,121,121,100,52.3414236186616,234.304829741577,73.7218082588673,66.5446683170159,97.9614830983597,1860.04026200078,1617,1495.73840211393,1728.5,1601,1475,1590,83.8176824817929
"2021/2022",2022,120,120,100,40.9263002483679,181.279443946669,70.4564622832369,52.7856757067104,90.9229861892171,1722.32082570356,1494,1343.74011750333,1539.5,1532,1314,1438,76.3833780506611
"2022/2023",2023,120,120,100,51.7163626779701,201.76269987188,66.5209276115802,61.312459782093,92.7068188783484,2110.06835477546,1997,1846.48505843479,1969.5,1988.5,1607,1977,87.5382080364452
"2023/2024",2024,120,120,100,46.5217674321106,241.623656892987,58.137562428505,51.907501339445,86.9887698017935,2025.44074122285,1894.5,1796.4420269273,1861,1926,1462,1855.5,84.0447129182694
"2024/2025",2025,121,121,100,54.8500384174016,241.672657075058,68.9925905379523,63.8815281803287,94.3131264638965,2134.23222829396,1955.5,1817.47956736548,1981,1926,1636,1915.5,87.323242156649
"2025/2026",2026,120,120,100,39.4135793195169,198.143756420583,84.9234352150983,56.2681531263333,98.174006972691,1626.78252050756,1342,1161.98386191822,1498,1258.5,1407,1249.5,75.4390307801714
"2026/2027",2027,120,120,100,45.9878504014111,239.457649292718,61.7852690621084,55.1652068064866,90.5115928055087,1966.47028248302,1843,1759.57865222046,1833.5,1840,1405,1816.5,86.1253561614894
"2027/2028",2028,120,120,100,52.2069310769282,198.726634553424,79.2185421880118,67.1696198924358,98.5174341636675,1962.46621190643,1693,1528.08578046006,1831,1651,1620,1645.5,81.7063133491679
"2028/2029",2029,121,121,100,46.6272332135327,241.076718236034,66.3967791609615,58.1322340302882,92.7469122115101,1849.72129112891,1665.5,1493.02907069611,1702.5,1627,1442,1578.5,81.5292030819678
"2029/2030",2030,120,120,100,45.0931720005211,218.895692299742,69.9202571787397,56.7442987210161,93.7266772665875,1903.5335549327,1659.5,1576.32632701627,1743.5,1671.5,1470,1642.5,83.87916349437
