"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.1670738584138,202.380859488196,71.2510802588137,53.6561055424387,91.4870653532605,1871.59348258337,1655,1597.88649756121,1728.5,1659.5,1399,1637,82.9553071867423
"2002/2003",2003,120,120,100,50.2844797926973,215.224327753876,81.0760029928565,68.1238102873631,100.414247143522,1885.37346870597,1613.5,1434.39684045884,1761,1569.5,1629,1564,81.028223966274
"2003/2004",2004,120,120,100,57.2651721096517,254.534918940151,69.3444319417115,68.2191114172726,96.5978344501287,2100.36542228644,1845.5,1753.3871931303,1935,1867,1625,1861.5,88.0632095832483
"2004/2005",2005,121,121,100,45.1675040381205,209.261454836248,64.94409501927,56.5790396304486,92.113868502986,1916.57057780295,1744,1661.81586559837,1770.5,1756.5,1372,1720,85.5433177903145
"2005/2006",2006,120,120,100,49.3113304380506,219.871850911469,74.05395540049,57.5021016072003,92.3032223014277,1966.09000171915,1816,1702.59512533231,1841,1804.5,1535,1799.5,84.0717170881272
"2006/2007",2007,120,120,100,49.1960302154996,259.341469512777,69.8852796395229,62.5516720706885,96.242726198546,1915.91123096251,1670.5,1545.45858661037,1799.5,1633,1493,1624.5,82.338073133167
"2007/2008",2008,120,120,100,56.2509334312151,232.554701771598,82.6494464125974,70.1949171432329,99.6151928456983,1991.13894378419,1722.5,1484.0454657642,1881.5,1645,1767,1643.5,80.009812390304
"2008/2009",2009,121,121,100,48.7470076730218,240.433143598718,67.6071820680969,57.0678754838378,92.2904888561476,1945.68619730284,1761.5,1633.39463753298,1796.5,1781.5,1463,1739,84.0960018446308
"2009/2010",2010,120,120,100,59.2335886977638,251.443317718157,69.8635827637825,69.4925399037008,96.1317851956895,2207.56011491984,1980.5,1815.20911607695,2033.5,1965.5,1735,1957,87.0387099268539
"2010/2011",2011,120,120,100,57.0039004074831,246.486421826157,72.1783116423321,65.2267977828179,94.8641913733235,2109.51805917561,1931,1790.83674991297,1975.5,1923,1666,1918,84.0534643044271
