"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.8244094339203,174.756348994245,69.500085040575,47.3645360773311,88.7784250227986,1781.42633146036,1598.5,1551.59157176219,1632,1593.5,1230,1556.5,79.874042165204
"2002/2003",2003,120,120,100,47.337633659676,208.066783348614,78.6544035334808,63.0592826817779,98.4219156687065,1908.71417686576,1665.5,1524.41301195029,1778,1644,1566,1637.5,82.7596253675959
"2003/2004",2004,120,120,100,57.2183657863782,254.663200675662,67.029118032293,65.8332450691651,94.3343873767454,2123.89859443796,1892,1832.40613188002,1948.5,1937,1580,1930,89.4727335592999
"2004/2005",2005,121,121,100,46.0524985729305,212.666305969617,62.4653650325244,55.6299097775519,90.242217140407,1968.47082158426,1809,1752.44294468173,1822.5,1830,1380,1790.5,85.9507213121417
"2005/2006",2006,120,120,100,46.2573338327254,206.064372524403,71.6074737519848,53.8290332624471,91.0607194644185,1932.8877475693,1823.5,1712.44060987308,1831.5,1805.5,1488,1797,82.8024851982262
"2006/2007",2007,120,120,100,46.2429556625781,252.262019143912,67.7977441161713,58.2217125046057,94.034420134401,1913.0000483197,1724,1587.14355905258,1814.5,1671.5,1476,1661,83.2713431683608
"2007/2008",2008,120,120,100,53.0123029685475,221.332324173881,80.1342111142083,65.7691277004127,98.2548802579106,2023.56654044239,1796.5,1567.33788994712,1909.5,1732,1738,1729.5,83.4943008142725
"2008/2009",2009,121,121,100,43.6751985956925,225.756494905747,65.2394997843314,51.8384379079934,90.2591584735961,1959.67576001397,1814,1705.03179442906,1815.5,1828,1401,1784,84.5816919927599
"2009/2010",2010,120,120,100,57.4412848457932,245.517112313287,67.4159529897805,65.7086977974284,94.0746829361042,2263.96350050125,2098.5,1945.41209590022,2098.5,2109,1746,2102.5,88.6797607633523
"2010/2011",2011,120,120,100,53.5854460521046,235.529398308496,69.5014617013178,61.7610279035248,93.3293187724027,2111.87179324712,1950,1848.77008157775,1998.5,1952,1609,1946.5,86.3456107673846
"2011/2012",2012,120,120,100,40.6383730729846,175.362436070031,78.3377412984748,53.7387405719112,94.4000228153087,1735.7811994417,1490.5,1370.9975669239,1592.5,1468,1343,1438.5,76.6612396254866
"2012/2013",2013,121,121,100,55.0267315727873,246.72668710882,70.7935909719315,65.6885618917791,95.6896093859799,2091.99845999752,1917,1774.51527151166,1956.5,1895,1645,1886.5,87.6869573867941
"2013/2014",2014,120,120,100,29.2025789196126,134.178801049201,83.2574890142681,47.0880120364257,95.2135969132277,1434.15223091371,1231,1135.13590477656,1346,1183,1048,1165.5,71.6883260659274
"2014/2015",2015,120,120,100,47.9723472663982,199.065350977958,69.6557007488011,56.9128533782899,91.4153696198525,1951.84537542422,1813.5,1654.51629393237,1830.5,1814.5,1505,1780.5,82.6175091959926
"2015/2016",2016,120,120,100,41.4673499361431,180.009808479269,72.0934694881575,54.7344270213723,93.5387862467471,1831.4775379445,1687.5,1532.52239618271,1733.5,1633.5,1451,1621.5,80.7237425225212
"2016/2017",2017,121,121,100,41.0098098969044,202.20099613563,68.4145541695441,53.6988005355483,92.2306734031986,1814.106531044,1606,1478.4007837078,1657.5,1598.5,1373,1531.5,77.5108825231914
"2017/2018",2018,120,120,100,47.7955969768729,195.207583500465,78.1432900621427,61.7015206204389,94.9012256071218,1820.92102168791,1593,1435.71492103395,1677,1565.5,1446,1547.5,78.7708130170809
"2018/2019",2019,120,120,100,48.3125113997416,182.061081075305,73.9608676660641,60.8046771686708,94.7738559072035,1946.27786469862,1724,1614.87230858679,1814,1692.5,1502,1675,84.1697342952534
"2019/2020",2020,120,120,100,43.7146843575145,196.429088357254,63.3676600267893,53.0307369438716,89.8738672252784,1958.48747639664,1806,1744.25960840584,1794,1844,1397,1799,84.7927499202274
"2020/2021",2021,121,121,100,52.79767388279,225.470314469927,77.00219488183,68.6520300521079,99.2526818814382,1874.93370651365,1601.5,1455.93348030825,1747,1563,1519,1560.5,82.1151600680651
"2021/2022",2022,120,120,100,43.4205024585868,175.770563012892,73.5354108506857,56.2788847436965,92.2004631892604,1725.19069326244,1489,1286.14228866927,1555,1495.5,1360,1401,73.2815979369993
"2022/2023",2023,120,120,100,52.0897938130426,193.006471379913,69.2423618498965,63.5854039314044,94.5422446188577,2130.70604312063,1970.5,1823.81821851871,1994.5,1961,1661,1955.5,86.1316971702345
"2023/2024",2024,120,120,100,46.1423228425889,221.263585491713,60.8821822529065,53.3553353709787,88.7383213113717,2023.96706529919,1891.5,1780.2013718256,1874.5,1909.5,1451,1857,86.0326329854361
"2024/2025",2025,121,121,100,54.7459049717389,228.459103604823,71.7809044764968,65.3511265532731,95.7781012904385,2142.36979415573,1926,1803.24294986042,1991.5,1914,1693,1908,87.0311803273198
"2025/2026",2026,120,120,100,38.2037944442385,181.069607167859,89.0705013503875,53.429955078204,97.5590776882236,1561.70688388008,1282,1119.24722597169,1441,1208.5,1298,1199,73.8257753202688
"2026/2027",2027,120,120,100,46.3925092750581,228.389563900202,64.5546317376348,57.712761827335,92.0046109586084,1982.44261325759,1834,1742.18620106461,1853.5,1828,1468,1811,87.1090424557246
"2027/2028",2028,120,120,100,53.5851303314854,195.485672239708,82.0181143377829,70.2193405608054,100.075695692479,2006.97176860482,1701.5,1518.43919299091,1868,1666.5,1686,1666.5,82.4854776192378
"2028/2029",2029,121,121,100,45.9072523363154,228.878179259619,69.3722238268768,59.1399967191641,94.2015087200819,1872.28089289444,1677.5,1495.18801121386,1736.5,1610,1482,1577.5,81.8775437702379
"2029/2030",2030,120,120,100,44.2083883519557,198.765620019338,73.0996507683497,57.3316757617565,94.670737621481,1860.94279278221,1629,1508.05781977656,1717,1603.5,1382,1579,82.6197288908265
"2030/2031",2031,120,120,100,54.4023689041973,253.910073318884,69.9212543513609,64.4752029090222,94.5684276823197,1952.44692154246,1758.5,1635.26328995371,1819.5,1746,1530,1728.5,85.5207862091693
"2031/2032",2032,120,120,100,49.1464883828566,233.040452386582,64.2137785418445,58.2475117814474,91.4271975718096,1994.25973896623,1862.5,1771.10268495171,1867.5,1856.5,1453,1841,85.9848752400558
"2032/2033",2033,121,121,100,49.9534940178639,202.404257324892,80.4986672718689,64.9868287130799,99.632399018139,1911.44877268509,1651.5,1508.28455037317,1766.5,1595.5,1534,1595.5,82.595869893009
"2033/2034",2034,120,120,100,43.8410376511384,206.217541551056,77.1790463319598,58.1418616534127,94.3566714882673,1756.2813074328,1510,1330.67627394546,1626.5,1481,1418,1442.5,76.2822495995433
"2034/2035",2035,120,120,100,42.8367240478875,176.343929344162,75.194489980946,55.4475013196183,93.5694623940359,1773.07010308345,1535.5,1380.16138342812,1647,1499,1418,1450.5,78.0771496723
"2035/2036",2036,120,120,100,45.1081589927334,195.402103124039,72.7252113028756,55.8226440630177,92.5063979260989,1892.20188789452,1686,1630.52865153819,1743.5,1684,1382,1668.5,84.0850921289848
"2036/2037",2037,121,121,100,48.0117482968169,204.017733615523,78.6873352579769,65.4475572987871,99.0286647654413,1897.88209449968,1609,1455.89458936477,1752.5,1559.5,1588,1543.5,82.5253285175695
"2037/2038",2038,120,120,100,45.8937827389387,187.233357110519,70.7587809654183,54.9490521776731,91.6589486225674,1895.3546576074,1772,1647.33336212429,1797,1741.5,1434,1727,81.6014412748191
"2038/2039",2039,120,120,100,37.3295816755441,185.756867442362,62.0516068394903,46.1645793503444,88.0270801019538,2000.69651849798,1918.5,1895.33397829868,1879,1940.5,1358,1926.5,89.4081532134196
"2039/2040",2040,120,120,100,56.0095453553405,224.346130523571,67.047826915014,65.4802731491876,93.4634101378821,2070.12533662564,1877,1698.65937388414,1903,1862,1579,1824,84.6494900617599
"2040/2041",2041,121,121,100,53.193379279877,227.745126707242,67.8268361925826,62.8028187957619,94.0737793227974,2131.29573693563,1975,1830.61623694092,1988,1953.5,1660,1946.5,87.5702078299801
"2041/2042",2042,120,120,100,35.2558523461672,132.037850311957,69.2099860440094,41.3333518177046,85.0355359406844,1860.52017666728,1758,1791.65453557854,1695,1833.5,1123,1798.5,84.5811461299782
"2042/2043",2043,120,120,100,52.762481114893,230.481262592363,77.2959165375757,70.2714287825076,100.508022400497,1967.24412355141,1652,1453.96155745119,1852,1569.5,1656,1566.5,84.8565285712957
"2043/2044",2044,120,120,100,51.8822620260837,228.757571608781,66.6948371490726,59.8859757643479,92.5206488624023,2128.67850275448,1990,1875.74560566393,1988,1992,1615,1976,88.0102229450704
"2044/2045",2045,121,121,100,48.6384385081952,202.875367874446,83.5697103485025,61.8208596103776,97.5713988563433,1841.7526316102,1600.5,1461.53705557572,1700,1561.5,1497,1555,80.0084784346027
"2045/2046",2046,120,120,100,44.5995674623834,208.912740262715,72.1037521835798,57.5721490271332,93.8469625894873,1821.92828815637,1601,1417.17354360294,1673.5,1581,1436,1520,79.3629425623676
"2046/2047",2047,120,120,100,43.1242449277527,184.232313766043,80.5180954792716,51.8387020401186,91.0598939989305,1824.41297113171,1689,1565.80944503366,1690.5,1697,1371,1676,79.3804783618634
"2047/2048",2048,120,120,100,55.6947077010495,216.728192287992,73.1576579827909,68.0130514803013,97.4453001288578,2123.2429119281,1876.5,1730.64054091688,1966,1843,1713,1841.5,87.6777099424708
"2048/2049",2049,121,121,100,54.4914247338165,237.993686169909,74.7030847459948,69.4057809850754,100.074169182179,1991.24757431081,1706.5,1566.03163946528,1854,1681.5,1620,1679.5,84.4527987227748
"2049/2050",2050,120,120,100,62.6834792593982,252.342608663058,79.536639553291,78.332322614491,102.104542289854,2034.73006734948,1697,1459.60105666678,1903,1599.5,1818,1598,83.376972457434
"2050/2051",2051,120,120,100,49.8027711345047,215.082595758739,71.4035779952647,62.9825744285724,94.7859855294453,1841.67230795755,1573.5,1365.66348743138,1706,1510.5,1491,1469.5,77.0805342706499
"2051/2052",2052,120,120,100,44.4895272398741,202.259562947091,69.7733178681203,51.400328356446,87.6154122923948,1889.20094606193,1737,1617.05944774649,1748.5,1765,1406,1705.5,80.3298406607282
"2052/2053",2053,121,121,100,46.1625109366269,191.489065302875,69.5215766641052,54.7880107128117,90.9685109689853,1984.40144918568,1864,1738.87361089617,1863,1848,1485,1823.5,84.3131875138924
"2053/2054",2054,120,120,100,44.6330241078584,194.623445206289,65.6728188530129,55.8222590868494,91.4213494039871,2015.10401804617,1861,1747.43003586497,1870.5,1854.5,1492,1831.5,84.7945708727193
"2054/2055",2055,120,120,100,49.7296608119599,205.512207541718,71.7213405039155,61.1162224636781,94.9726832755698,2003.87220210952,1802.5,1674.53973624055,1871.5,1791,1539,1784,86.0970567233007
"2055/2056",2056,120,120,100,52.6603223187696,212.685654054523,69.4730640519688,66.3963633043412,92.9334647338928,1928.26358606431,1574.5,1347.46761434235,1665,1622,1669,1481,76.9079339836117
"2056/2057",2057,121,121,100,42.1973038573667,193.095116119924,78.3251332325684,55.6194830857833,95.705811803279,1895.24963458354,1663,1555.76087559165,1762,1635.5,1480,1629.5,79.2444157190093
"2057/2058",2058,120,120,100,57.1471756087068,240.281873753009,66.517888080602,66.015880119605,93.2155298127695,2128.81623442064,1970.5,1843.72057078139,1999.5,1971.5,1661,1952,85.8370855590547
"2058/2059",2059,120,120,100,48.8352593297513,219.040343791027,79.0457124991088,64.7197339884836,97.6673384821717,1863.28818518372,1589,1431.02326199663,1735.5,1529.5,1497,1524,80.6597365035932
"2059/2060",2060,120,120,100,40.3536774539503,179.962849322859,70.0809679371942,48.9460638868826,89.1046138660239,1777.20625358971,1618,1538.97771073161,1636.5,1629.5,1267,1590.5,78.3683284371637
"2060/2061",2061,121,121,100,43.4890420736579,209.043414869114,64.2646581304397,52.9634457770308,89.405392759755,1821.72134128053,1630,1516.02017920463,1660.5,1668.5,1299,1585,78.6767003479199
"2061/2062",2062,120,120,100,48.4510214493537,200.166689990679,83.1246639297852,68.334898681781,99.8844277254541,1981.43364653667,1682,1463.05895952979,1837,1608,1722,1603.5,80.6810801712527
"2062/2063",2063,120,120,100,54.9262963633601,243.624849584037,74.9954118771147,68.8447336872521,98.3224328009912,2039.03368455116,1772.5,1546.59907356829,1908,1715,1766,1699,82.2574930848878
"2063/2064",2064,120,120,100,42.8703586759245,184.614891136205,75.3963983548804,59.0445029680145,95.5331325725012,1814.09064838645,1590.5,1492.3050105032,1698.5,1558,1406,1544.5,82.2731769418206
"2064/2065",2065,121,121,100,53.3101277655365,234.693356319554,69.5586016334521,65.4134854333278,96.062527705299,2140.0694520408,1944,1794.24424702099,2007.5,1916,1729,1909.5,88.3942684805061
"2065/2066",2066,120,120,100,59.7040926750912,258.840298027759,65.1612266765862,68.2359495498864,94.1247471225689,2238.01438214519,2064,1949.72175034685,2087.5,2066,1707,2058.5,90.7156136478097
"2066/2067",2067,120,120,100,48.0169020830697,207.562637613192,82.4937669804748,59.8709079794969,96.5230348216401,1806.54809708922,1579,1416.03395211052,1686.5,1535,1506,1526.5,79.0894617460599
"2067/2068",2068,120,120,100,36.3231008480243,175.219280516286,62.0046463969767,45.0834001973603,87.6633375468878,1776.51199904413,1651,1686.78039541229,1621.5,1718,1059,1689.5,84.6873516223186
"2068/2069",2069,121,121,100,48.9683174089762,206.008873349647,72.7683876425726,61.0753656567867,95.6996902575041,1877.10107655913,1707,1571.56485576385,1776,1663.5,1481,1650.5,83.94445218293
"2069/2070",2070,120,120,100,41.4879148378538,206.637817363738,71.0722023347586,49.3928522118363,91.2457025791425,1942.24019454382,1801,1733.35953485162,1804,1809,1426,1804,84.7233399871056
"2070/2071",2071,120,120,100,46.8036999125468,209.076150534959,69.4627560413253,62.3148146025806,95.0249564808757,1992.49932876573,1792,1588.32637245834,1862.5,1727.5,1593,1701.5,85.0551938959816
"2071/2072",2072,120,120,100,42.1561443619875,180.060393909361,75.6637396348031,56.5841155181352,95.3892811554591,1833.94854281258,1610.5,1502.03252649815,1705.5,1590,1383,1581.5,82.3848994847031
"2072/2073",2073,121,121,100,36.2633232276398,192.587197734223,63.5342519224212,41.5705149251125,85.7050311878687,1877.83135914928,1760.5,1746.91026365013,1703,1835.5,1229,1787.5,84.7995089210763
"2073/2074",2074,120,120,100,41.0539618719365,179.464204682188,76.7841094674117,51.7421441857422,90.3041205570156,1645.55772594429,1415,1215.93932123187,1455.5,1444,1297,1330.5,72.828172995547
"2074/2075",2075,120,120,100,39.9522507137619,195.588563933485,66.5108014138836,51.7654040293771,90.6678117309321,1803.70256144414,1584,1543.62103852777,1626.5,1617.5,1248,1567.5,81.1578421213217
"2075/2076",2076,120,120,100,48.7709861490801,224.180810935982,61.3382395672649,55.3111754337782,89.2354096527544,2057.64565045488,1936,1872.35183821482,1914,1977.5,1431,1954,86.8529631777637
"2076/2077",2077,121,121,100,56.597551373455,242.080249185529,77.4235759994505,72.8270878353729,101.223820640842,2038.70977647419,1749,1531.4260155737,1916.5,1667.5,1768,1662,84.8961884692017
"2077/2078",2078,120,120,100,51.0005999775432,206.86943794372,78.5933190471444,64.977753426175,97.4078657835935,2011.29659092991,1747.5,1589.25412978978,1873.5,1708,1687,1706.5,84.0498978570704
"2078/2079",2079,120,120,100,52.642594095657,192.203017307564,73.4721143861884,62.1095503352514,93.5576694950592,2065.8135934248,1910.5,1790.61663117788,1917,1921,1568,1907,85.033179089467
"2079/2080",2080,120,120,100,49.8888298329313,212.156343033063,65.5010067516936,58.9344655976709,91.6814333505644,2099.45138248784,1929.5,1867.51818651933,1969,1928.5,1575,1912,87.7768878268053
"2080/2081",2081,121,121,100,31.2578213208123,151.224178086215,74.9401978795877,44.2325103864186,91.7940933608081,1765.77067242481,1584,1558.7587297584,1612.5,1611.5,1181,1595,81.5556770196654
"2081/2082",2082,120,120,100,50.6589830240898,214.288207516908,68.6877649441324,60.2973838077669,91.6953283670804,1977.52977735619,1802.5,1647.88597128367,1827.5,1797.5,1524,1744.5,82.2828695725857
"2082/2083",2083,120,120,100,42.160402041469,182.633851417745,69.4798240206592,50.2714304741974,89.9097607710996,1894.61612110492,1688.5,1656.88209131846,1736,1738,1339,1699,84.0700714112245
"2083/2084",2084,120,120,100,56.5144990099632,250.573901244609,72.7888849098057,69.431579645016,97.0222771704853,2023.03344364522,1792,1644.27991304592,1889.5,1778.5,1613,1775.5,83.8878728976215
"2084/2085",2085,121,121,100,48.86069146948,199.882297148302,74.2191921903385,60.5190577051225,95.7972840181746,1961.77275388205,1717.5,1642.50873621218,1789,1753,1494,1723,80.8599108209892
"2085/2086",2086,120,120,100,46.5214235795795,206.995041269649,72.8799666320258,58.6429435698533,94.1849335542588,1854.78414485557,1641,1532.56420634432,1721.5,1621,1382,1613,82.0791517879188
"2086/2087",2087,120,120,100,50.5134571678359,217.098097129425,74.3959425783083,64.2213494299291,96.7505114325045,1967.78885305312,1727,1556.1217237298,1863,1684,1600,1664.5,84.1067959147913
"2087/2088",2088,120,120,100,43.4091763065117,175.553881600775,77.8394547527115,56.0933182674025,92.7850123896029,1802.66275273153,1613,1469.59228525498,1692.5,1567,1422,1544.5,81.2681853757422
"2088/2089",2089,121,121,100,49.5252089144059,217.771245648518,71.9418393698075,59.9862327258661,95.3199693693997,1970.6966050067,1751,1626.91891595999,1824.5,1743.5,1532,1722,85.0585896252887
"2089/2090",2090,120,120,100,58.5285979319326,252.712885443798,75.036690375939,70.3060650264299,98.2788793261389,2021.0890594098,1788,1595.69864122145,1904,1731.5,1729,1727.5,85.0853399907701
"2090/2091",2091,120,120,100,43.2425045027438,181.178671303065,77.3281839126251,59.3831676579494,96.4015434915074,1756.0925689665,1501,1389.02575346286,1642,1448.5,1368,1436.5,81.3834881325929
"2091/2092",2092,120,120,100,56.130800439617,216.215981081713,76.0036122566899,71.257440949775,99.4221910813317,2085.51742837665,1808,1602.58918664213,1935.5,1782.5,1695,1776.5,85.3056405503612
"2092/2093",2093,121,121,100,40.0510688918937,172.066550409678,71.5222200548636,51.2153633914506,90.8482590051686,1823.85384838644,1673,1606.39442241694,1691.5,1673,1303,1648,83.2802892549153
"2093/2094",2094,120,120,100,28.9743186916482,141.078602902093,76.5314887889897,44.9930369793699,92.2795802115217,1577.61158116278,1349,1289.39633081565,1441.5,1336,1062,1315,77.3523145788276
"2094/2095",2095,120,120,100,60.4955683945599,234.531193487193,70.040925619805,72.4045145986778,96.9376155396031,2118.54433965421,1882.5,1755.85207643778,1954,1878.5,1656,1874.5,88.9276752016522
"2095/2096",2096,120,120,100,54.273586455895,230.865684678564,65.335910476114,61.2538979529889,89.8354322540243,1985.99347227626,1794.5,1634.28422008054,1816.5,1813.5,1538,1740,81.0451379251354
"2096/2097",2097,121,121,100,41.2878386781079,198.761214415931,68.4410705892719,56.3250528465712,90.6853782908924,1669.27796967659,1353.5,1122.80288709469,1439,1352,1363,1195.5,71.6591486378384
"2097/2098",2098,120,120,100,39.3401773878889,179.781928448494,75.7382813414303,52.564172739004,94.2263367059672,1725.17119227268,1470.5,1377.97514828829,1593,1459,1295,1431,78.110705504605
"2098/2099",2099,120,120,100,48.102014739192,207.728522247793,72.3459458276736,58.0158410393996,92.46830966247,1967.57184200827,1772,1712.81773754279,1803.5,1807.5,1460,1792.5,85.7252315079022
"2099/2100",2100,120,120,100,56.5393528370623,215.426717460324,67.6302102988392,65.7441018499991,93.2285482392954,2206.04774065869,2025.5,1863.28554355258,2038,2030.5,1740,1998,85.5693836553164
"2100/2101",2101,120,120,100,42.1440878117055,196.888233568381,71.6672519179881,52.6154983910785,92.0130476780601,1881.54547445656,1717.5,1648.72073313061,1768.5,1706,1372,1702.5,83.6172886755539
