"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.1373997616623,168.445627001105,68.9116636517063,47.8117709959725,88.804058486507,1897.22044548253,1732,1699.82209318738,1736,1759.5,1289,1731,82.7481874404087
"2002/2003",2003,120,120,100,48.2708230327525,192.922968921744,78.707654728594,63.3112813305367,98.0024158368872,1933.59969893687,1704.5,1544.49535690928,1785,1687,1545,1676,82.654129380973
"2003/2004",2004,120,120,100,58.9709705827262,242.565237054873,67.0538126545099,65.7218119489808,93.7890233008765,2180.23218607766,1956.5,1904.56799629008,2004,2006,1626,1998,88.0927118101947
"2004/2005",2005,121,121,100,49.8441605178741,209.258672366766,62.4244341652442,57.002431428758,89.6166537974926,2002.29940274951,1864.5,1795.97229485106,1859.5,1879.5,1422,1839,87.5491824747706
"2005/2006",2006,120,120,100,48.3615383112603,200.803872779625,71.0334279692877,55.9758301169104,91.6547417141215,1999.15274168017,1878,1790.26271646035,1892.5,1877.5,1517,1873,84.1481512295346
"2006/2007",2007,120,120,100,47.3652308409956,244.777541986138,67.6664936527637,57.4099121675138,93.3831803176064,2025.67498046616,1851,1748.28848276404,1901.5,1840.5,1526,1833.5,84.9242443594237
"2007/2008",2008,120,120,100,52.9090010959146,209.690848923302,79.7157248179101,66.2105689490043,98.2434871826701,2068.69570040411,1834.5,1634.09065653502,1951,1802,1772,1797.5,82.363907532294
"2008/2009",2009,121,121,100,43.2714685910894,209.722225854826,64.9504280140672,52.5849221743901,90.489759703912,1974.62152466412,1793,1729.2136021284,1805.5,1838,1399,1800,83.9363716356136
"2009/2010",2010,120,120,100,57.7943882839794,230.10950648456,67.1863184392165,64.7077923991779,93.4678286036151,2282.99337318774,2125,1999.22809686657,2127,2140.5,1734,2132.5,90.2056750064539
"2010/2011",2011,120,120,100,56.967041846164,226.438696092201,69.0209083503944,64.6246495887244,93.4844399016756,2197.13701205841,2043,1931.43813545132,2065,2056,1709,2049.5,87.5214716193213
