"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.6390279917125,166.77630530861,66.8375452289465,43.442947271452,86.8053090560142,1735.44113050435,1556.5,1525.39595544936,1577.5,1574,1133,1524,78.6335342372977
"2002/2003",2003,120,120,100,45.9531831212386,212.325151258101,75.6722352502342,60.3765998819884,96.8661392557739,1916.1798911324,1692.5,1570.68088412963,1766.5,1670.5,1523,1657.5,83.3983456702762
"2003/2004",2004,120,120,100,55.1833244216756,259.833867079651,64.1742781085238,62.314356824121,92.3967727464496,2111.75620244168,1903,1872.19498769467,1951.5,1954,1549,1942.5,88.1697882054777
"2004/2005",2005,121,121,100,45.8225773007153,218.012948600181,59.76059976402,52.8380799304371,88.1053161493198,1931.18231842788,1788,1743.04543025785,1775,1824,1318,1775,86.5573222806261
"2005/2006",2006,120,120,100,43.3320788964801,199.250813805871,68.6406103072874,49.7672112265801,89.1687288147661,1888.82317663903,1808.5,1709.85212596993,1794.5,1780,1411,1769,82.9471768047379
"2006/2007",2007,120,120,100,44.5638026506037,256.473579624209,64.9179925095237,55.638632581371,92.4125209274289,1918.82143859999,1762.5,1617.69624743055,1825.5,1704,1458,1687.5,85.1136242326766
"2007/2008",2008,120,120,100,52.1595582429706,227.975435614418,76.8568039394128,64.3051689534717,97.1717018811625,2059.49141193701,1857.5,1640.70090103227,1953,1793.5,1740,1787.5,83.4927945012839
"2008/2009",2009,121,121,100,38.634788030101,218.593446592945,62.6448797957462,46.8099668760758,88.1221282646451,1898.43173186148,1744,1677.24462969661,1733,1796.5,1312,1735,84.7903068486869
"2009/2010",2010,120,120,100,53.736025992834,243.352556208951,64.6495281864866,60.8130585075435,91.9076517075611,2225.82109556085,2099,1975.97842557735,2071,2132,1633,2123,87.8691462027502
"2010/2011",2011,120,120,100,50.4136767895018,231.152287809067,66.5842432967945,57.5471715511115,91.6570906488044,2094.99099450464,1950.5,1883.9544536758,1970.5,1974,1573,1966.5,86.3831253770406
"2011/2012",2012,120,120,100,39.430752988272,177.142729186925,75.4446807417013,51.6025061942333,92.6976463024257,1729.77884459164,1498.5,1382.28882244468,1579.5,1495,1300,1451.5,77.4324491184186
"2012/2013",2013,121,121,100,54.3052978408024,250.846486448225,67.7358037229693,62.4661685326198,93.7702418001518,2080.81739342357,1928,1817.1848319192,1920,1929,1546,1914,87.3814646045143
"2013/2014",2014,120,120,100,29.4815695561524,140.804338558992,79.938222542642,47.49041628674,94.3690186699949,1456.45174386127,1255,1165.92158884094,1369,1215.5,1058,1192.5,74.2005943357274
"2014/2015",2015,120,120,100,45.4735835131183,198.045885735936,66.9134304787316,52.7170818943084,89.2755892186637,1927.6231685117,1803.5,1683.01355790804,1782,1817,1413,1772,83.7741473673091
"2015/2016",2016,120,120,100,39.0683000786152,178.254863242615,69.1897271760993,52.2739979110021,92.0678221552495,1810.51464900383,1696,1551.17223140836,1731,1657.5,1390,1639,79.1683514487163
"2016/2017",2017,121,121,100,38.3646645569809,200.881969202347,65.6126273694616,50.2945275631491,90.5221862503131,1804.45422671337,1610,1483.15764535178,1622,1608,1325,1528,79.0038206044155
"2017/2018",2018,120,120,100,47.9655223436227,200.990988781467,75.0199230260142,60.2967005596529,93.5050898008064,1828.31602058307,1616,1469.04282584594,1689,1590.5,1424,1561,80.0111401143977
"2018/2019",2019,120,120,100,48.3564023560989,187.327609101304,70.9947445895486,58.6098530761953,93.0197481052076,1950.91300204927,1744.5,1660.83557597423,1807,1733.5,1458,1712,83.6771692840384
"2019/2020",2020,120,120,100,40.2117262199797,189.904595018611,60.7219824089499,48.9357095169673,87.7382700731616,1916.56640144874,1782,1741.13352000987,1736.5,1826.5,1304,1769.5,83.4300672371933
"2020/2021",2021,121,121,100,53.8371686615764,236.485586884667,73.9020067634562,66.9822769985807,97.3277254449002,1891.37693757169,1649,1521.20336241224,1753.5,1621,1498,1613.5,83.9895534510765
"2021/2022",2022,120,120,100,42.3620714114971,179.857025473397,70.4134508943132,55.1814014044029,91.0631481442267,1736.60145930534,1493.5,1315.07661001781,1559,1516,1361,1407.5,75.7118036725969
"2022/2023",2023,120,120,100,51.7387164210477,195.033645282751,66.4588115506148,61.2212864625254,92.588504057513,2116.94264506461,1987,1848.94510530493,1969,1972.5,1607,1961,87.5196573622629
"2023/2024",2024,120,120,100,43.9884580849683,222.862125383468,58.2806043692807,49.4086157793118,86.3816240682539,1999.5957369469,1873.5,1786.84872697032,1840.5,1927,1404,1856,85.6736264966517
"2024/2025",2025,121,121,100,52.0583886127222,227.234471740779,68.9112664683168,61.1216934708282,93.6769115399359,2127.29332194744,1943.5,1845.57781392172,1979.5,1940.5,1609,1932,86.68479649969
"2025/2026",2026,120,120,100,39.41767577569,186.555315756782,85.2518805021813,54.8295684464684,97.2118894850777,1627.91210139965,1359,1189.01496172225,1496.5,1293.5,1349,1281.5,75.8220185457944
"2026/2027",2027,120,120,100,45.5487229331569,228.211389635841,61.8983609313941,54.690703542471,89.9225387735136,1953.8609111603,1833,1749.11006499472,1816,1831.5,1403,1801.5,85.7033342933514
"2027/2028",2028,120,120,100,54.0236193993652,202.401824873534,78.8180475662321,69.4218189816721,98.7374773360726,2043.82433264158,1776.5,1597.65958777543,1912.5,1738,1686,1736.5,84.6729687846173
"2028/2029",2029,121,121,100,46.0592194532141,234.122139956159,66.5302825044796,57.0170663455891,92.0767115672595,1864.11174471687,1692.5,1513.57645545316,1729,1659,1434,1608,82.7965567395672
"2029/2030",2030,120,120,100,43.5191187287907,200.713796854604,70.2150351671508,54.9899425737643,92.8331702267175,1852.97335644242,1602,1527.50159208868,1693.5,1624.5,1405,1589,81.7431236251991
"2030/2031",2031,120,120,100,51.7167884746653,254.193506214067,67.1082040880998,60.7841684253073,92.5374949006759,1926.51393409786,1740,1651.86527031445,1789.5,1757.5,1459,1728.5,85.8979149455245
"2031/2032",2032,120,120,100,46.2184926758115,233.203632927853,61.532652954084,52.9903696940217,89.3076138211151,1952.24372061781,1832,1776.45050524634,1810.5,1850.5,1366,1829,86.7623618739681
"2032/2033",2033,121,121,100,49.4632347721368,208.757872808777,77.2157833648102,63.7502181883027,98.2336870792829,1928.13117065062,1697.5,1557.82664197535,1789.5,1668,1494,1667.5,84.5749723911804
"2033/2034",2034,120,120,100,45.230042711041,216.448170007498,73.9280721534786,58.2489377633633,93.2942418162189,1789.70796935915,1555,1377.78392580972,1644.5,1538.5,1433,1485.5,77.111549061251
"2034/2035",2035,120,120,100,42.092776832717,180.496416826122,72.2755781132236,54.3920754018099,91.9274260295382,1789.22014785177,1564.5,1417.36225767245,1636.5,1541,1417,1477.5,79.2778404746587
"2035/2036",2036,120,120,100,43.6643779147041,197.722005374884,69.7961202847318,53.1482072572794,90.6413337902895,1884.97303982583,1709,1656.21312708183,1752,1712.5,1364,1691.5,84.8290084235723
"2036/2037",2037,121,121,100,49.3679715191342,214.207373341995,75.3164802785631,65.0995842953044,97.9974038496036,1939.59442320032,1667,1529.44863736053,1795,1629.5,1590,1611,84.1830474584713
"2037/2038",2038,120,120,100,44.10105180961,190.33035003028,67.8378674864115,52.805083251684,90.2553725599042,1882.17246087769,1779,1645.66914334143,1777.5,1740.5,1393,1715.5,80.7231375455258
"2038/2039",2039,120,120,100,34.5256956964247,175.162407228142,59.5817903762281,41.6416209276797,85.6552200607721,1932.07760018199,1882,1862.36682873248,1818,1910,1258,1882.5,86.2651169610326
"2039/2040",2040,120,120,100,53.8558566828958,227.337272007147,64.3248704022652,61.0673145829623,91.1832087560126,2053.92591473465,1880,1744.07474935087,1888.5,1899,1531,1856.5,85.8343193239743
"2040/2041",2041,121,121,100,50.1772613043559,222.582625889404,65.1615488404125,58.4575248659556,91.716001594146,2085.43943729751,1952.5,1831.04058197215,1936,1953.5,1554,1931.5,88.3743192291495
"2041/2042",2042,120,120,100,30.6890469373449,123.553494589119,66.6468145126234,35.9722616390157,82.7699908408788,1765.03994151633,1689,1753.69537345244,1619,1789,1006,1743.5,82.6760555529072
"2042/2043",2043,120,120,100,52.2101656012033,235.561907775347,74.2246188332604,67.8748443938146,98.9351633945436,1980.73066249798,1685.5,1499.98761482676,1847.5,1626,1648,1616.5,83.2588272176881
