"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.3230650185922,134.961377183985,62.974789379178,38.6549488764481,83.0635996674206,1696.48389957976,1624,1576.53096975946,1566.5,1648.5,1060,1590.5,78.8155698610974
"2002/2003",2003,120,120,100,44.98207872555,189.410832956101,71.4068553217467,57.3410457459276,93.711291433786,1987.11634390195,1770.5,1722.92968928874,1798.5,1813.5,1395,1799.5,87.5953586241461
"2003/2004",2004,120,120,100,45.8260606925584,208.868888478662,60.8876107385199,50.6885607665596,87.6029980797306,2054.12457783341,1967.5,1946.4046600246,1925.5,1987,1414,1966,88.2553593917682
"2004/2005",2005,121,121,100,38.8492490314336,173.405625915677,57.0255378486801,43.9819096990983,82.6639192653356,1754.99151500091,1679,1607.45172810131,1625.5,1704,1116,1610.5,78.9269072835931
"2005/2006",2006,120,120,100,34.7130702286955,145.048072245554,65.5075051291587,39.2203591138146,84.3653335200116,1768.61396242904,1736,1731.55431308035,1657,1798.5,1104,1776,80.3213924827058
"2006/2007",2007,120,120,100,42.8782971707118,221.474321363588,61.4322404770614,50.9658758185801,88.3462632568014,1950.86147230869,1860,1732.02240444501,1861,1824.5,1449,1793.5,85.1822976067557
"2007/2008",2008,120,120,100,49.2169028491099,195.247782805637,72.5304189125799,58.107445359569,93.1284648996254,2108.84897025573,1978.5,1863.34379164855,1983,1988,1661,1983.5,87.4709077949936
"2008/2009",2009,121,121,100,31.9175777446013,171.82248626684,59.642876712235,38.7167582669463,83.3012291457307,1753.41141909497,1619.5,1607.76581952668,1586.5,1711.5,1143,1606.5,79.6935382558438
"2009/2010",2010,120,120,100,44.0235813680963,191.614955775837,61.3420947442185,48.9395245269404,86.7779197127584,2066.25704314611,1993.5,1976.89861656196,1947,2043,1410,2017,88.0405103317937
"2010/2011",2011,120,120,100,39.3957722547184,175.024736401981,63.3388344011527,44.4804744611464,86.40390289158,1972.31646796602,1897.5,1924.04171844901,1834.5,1946.5,1298,1928,87.3447074712228
"2011/2012",2012,120,120,100,38.9064488853954,149.688830772977,71.1100005658171,49.6580160948958,89.8135805939942,1761.68316800247,1566,1458.41226527281,1589.5,1572,1256,1504.5,76.2784639908518
"2012/2013",2013,121,121,100,45.2420190739497,203.194898658679,64.4774877632595,50.1301282681495,88.5471248553996,2001.90955562123,1895,1907.09115238758,1854.5,1963.5,1322,1941.5,89.3858637735523
"2013/2014",2014,120,120,100,37.2343952840404,152.563211268968,75.8641396159252,51.6201393068379,91.7647058134062,1563.39031561727,1376,1263.95978085565,1487.5,1328,1179,1293,74.9590137303649
"2014/2015",2015,120,120,100,38.5193980068716,156.067432337665,63.073236141744,44.8006299369499,85.5055233596513,1872.70174576442,1764,1738.50279259955,1708,1838,1246,1772.5,81.4327156674683
"2015/2016",2016,120,120,100,35.8718217232958,151.275796216378,65.7655706023374,46.936624866608,88.2126395317916,1761.87360292884,1684,1550.94022040779,1654.5,1655.5,1256,1613,79.5974196562609
"2016/2017",2017,121,121,100,36.7530045360925,170.740399824816,61.9245808982472,46.3127839157313,86.8992431285753,1815.85726560912,1658,1566.85517563679,1604,1716.5,1202,1622,80.4597563046812
"2017/2018",2018,120,120,100,46.2126355387856,178.97119487805,71.0459745057451,55.0201693420323,89.6391315468683,1858.35443244987,1708.5,1580.66532428465,1728.5,1710.5,1360,1664.5,80.8051251119077
"2018/2019",2019,120,120,100,43.7155607017726,159.96878152168,66.8832609895746,52.5980431429958,89.3226240907812,1919.37306175443,1775.5,1720.93639042639,1797,1803.5,1330,1777.5,85.5090840729672
"2019/2020",2020,120,120,100,34.0773025263027,147.097891495922,57.7156081874508,40.5609387750986,82.7257039590394,1759.63279127023,1673,1666.16234192175,1603.5,1723.5,1107,1639.5,79.7577757984491
"2020/2021",2021,121,121,100,52.7334085536585,218.289832441509,69.9975069349165,61.6894650033157,93.6358809473221,1932.52332552429,1737,1637.81199083594,1814.5,1733.5,1467,1713,83.1542816963624
"2021/2022",2022,120,120,100,36.0543688625881,151.167055549076,66.736346096932,47.0569218320223,86.805585631356,1710.27718325939,1505,1378.45361404287,1487.5,1549.5,1235,1416,73.9843648647584
"2022/2023",2023,120,120,100,45.3880259236636,155.548757161872,62.9048928766924,50.7830909367637,87.2965185054955,2022.98607688778,1922,1917.1439800541,1871,1993.5,1361,1966,86.8581036454034
"2023/2024",2024,120,120,100,38.0884032595092,172.940328564264,55.128378405702,40.4826475086586,80.8843507260239,1885.21013986936,1832.5,1798.77293846935,1723,1913,1203,1819,84.883789874747
"2024/2025",2025,121,121,100,47.2531204491988,180.284976836106,65.1470340238608,52.6076479596316,88.9190984805673,2075.701543371,1978,1943.12532254967,1924.5,2019.5,1422,2006.5,87.1476564782811
"2025/2026",2026,120,120,100,41.3021624956612,171.910140219064,80.3683250255235,56.8366668563349,96.0342580175269,1770.82607899224,1541.5,1358.00442666724,1644,1493.5,1421,1477,79.3783029954939
"2026/2027",2027,120,120,100,40.2402550758786,183.499695418995,58.7142785390658,45.6115127183568,84.8992132502965,1858.7997796453,1815.5,1772.62235707255,1742.5,1838,1194,1799,85.8025177716449
"2027/2028",2028,120,120,100,49.1100367314713,174.656686526448,74.7110585895514,61.2751120699958,94.7750486167451,2041.61799697904,1822,1709.97672310544,1897,1808.5,1562,1800,84.8465492251185
"2028/2029",2029,121,121,100,44.2928462897151,197.118901618661,63.1421473522014,52.2975352200778,87.8297224559488,1846.2539366829,1721.5,1564.90724560737,1706,1742,1341,1660,80.0531826305732
"2029/2030",2030,120,120,100,42.6226861195858,172.825729114232,66.0806093415842,51.1959664913907,89.0324686061302,1908.55867827311,1750.5,1678.59726425998,1779.5,1741.5,1384,1704,83.1959133965734
"2030/2031",2031,120,120,100,46.3944092191674,222.915611491546,63.6617235579131,51.3037355948114,88.0495659360012,1938.87150592188,1819.5,1791.61475899559,1784.5,1867,1313,1840.5,84.6878866017287
"2031/2032",2032,120,120,100,37.7440437383042,186.426032055476,58.496131418803,43.0848176447307,84.6014072476705,1822.50448680375,1751,1734.10963818266,1705.5,1771,1155,1729,84.1616192068473
"2032/2033",2033,121,121,100,47.2528198948704,188.932871041183,73.0382978182153,59.1243629764069,94.4982511296559,1960.38653180108,1766,1698.84169500029,1825.5,1762,1459,1756,84.9258910876456
"2033/2034",2034,120,120,100,43.8097589493088,190.301364627276,69.9872817938907,54.1277874432688,89.4775373860362,1836.37038348266,1645,1496.8859487936,1666.5,1663,1414,1579,79.0346405364353
"2034/2035",2035,120,120,100,38.9412491758374,151.272248077076,68.0159382870381,49.2240061977785,88.5592091226111,1807.51909220008,1616,1511.66769907406,1622,1636,1274,1561.5,79.5458569649145
"2035/2036",2036,120,120,100,39.197999760894,159.969659508396,65.8999530349308,44.7491991422886,86.4888284219087,1839.02929953343,1743.5,1730.60081790964,1715.5,1790.5,1189,1762,84.0373273609503
"2036/2037",2037,121,121,100,45.6717889682831,184.72120719202,71.602863325372,57.6314211755004,93.7436679133694,1950.46081709757,1752,1646.5013500567,1807.5,1746.5,1471,1718.5,85.2745043557034
"2037/2038",2038,120,120,100,35.612151880199,151.455867159619,64.4095169057934,42.7817112842229,85.4461217576839,1774.16681077814,1681,1632.60080221491,1630,1720.5,1156,1665,77.6326329800277
