"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.9401462989945,184.972706269614,68.3248506984892,46.9305367759344,88.7291949220043,1821.44972948084,1633.5,1591.89230306815,1664,1647.5,1247,1609,82.360926969215
"2002/2003",2003,120,120,100,48.7834605116346,217.625205927738,77.6295035511742,63.9848405272307,98.3645621868051,1915.71442490076,1682.5,1525.43363424578,1787,1640.5,1584,1630.5,83.2091406285624
"2003/2004",2004,120,120,100,57.1951772545578,261.232375921497,65.9675629783563,66.1022760434485,94.2144580773732,2130.94896123703,1901.5,1843.48814323713,1971,1937,1608,1930.5,88.533746071441
"2004/2005",2005,121,121,100,46.5344465531947,217.484551683827,61.5853720316156,55.6999276608322,89.8055823698216,1929.82109163056,1778,1706.74630762904,1781,1805,1344,1759,85.7742377432749
"2005/2006",2006,120,120,100,45.9698937385631,211.506191684118,70.5580368031722,52.6261182122762,90.4201882427441,1924.93570388862,1825.5,1720.78421706942,1826,1810,1475,1801.5,83.3929356149254
"2006/2007",2007,120,120,100,47.8304217087391,265.31219565278,66.5863622289157,59.5142769381859,94.0674725425418,1949.69234098254,1748,1620.11089503482,1842,1707.5,1510,1694,85.3751666730361
"2007/2008",2008,120,120,100,55.0850509944048,235.850570421412,78.7940455346363,67.6966092215082,98.4864884845206,2052.31510390007,1830,1591.55921520443,1951.5,1759.5,1779,1757,84.0315107687727
"2008/2009",2009,121,121,100,42.4471828942687,228.344275728637,64.3675467099528,50.5805073558224,89.7394349978682,1916.2680994795,1753,1658.92777101138,1760,1779.5,1356,1722.5,84.0631310526671
"2009/2010",2010,120,120,100,56.9872747553605,251.829242717892,66.4590937301964,64.9127368866923,93.6472162652596,2230.46500689534,2059,1917.67490372944,2073,2085.5,1688,2078,89.2791004645292
"2010/2011",2011,120,120,100,54.0741640223599,242.673126597985,68.4779087271304,61.5687267194543,93.0806711767264,2118.31052374971,1959,1858.01271952016,1997.5,1974,1605,1966.5,86.6910819456828
"2011/2012",2012,120,120,100,40.6561308627286,183.436613865266,77.2147549255611,54.0109988503449,94.390709962555,1742.55073485979,1499,1374.70697287233,1608,1482,1344,1452.5,78.3458988146106
"2012/2013",2013,121,121,100,56.0090665093288,258.077786675257,69.6279800371801,65.5224708146254,95.227749135485,2101.42361126721,1924.5,1796.68345252952,1956.5,1925,1664,1912,86.768764636676
"2013/2014",2014,120,120,100,31.2462362818396,144.977339381949,82.0611836412265,48.9483388451572,95.303411055039,1493.31830897739,1278,1194.9377612934,1391.5,1241.5,1075,1226.5,74.4547311203978
"2014/2015",2015,120,120,100,48.3682623279174,211.300623295041,68.4778518629308,56.5126368999202,91.3101204785014,1978.39861432706,1844,1697.66853209156,1854.5,1840,1528,1807,84.3296257805002
"2015/2016",2016,120,120,100,40.607069061904,183.040152520933,71.1384136144007,53.6367629506566,93.037695321091,1822.90944491543,1678,1544.14587533147,1749,1644,1423,1631.5,80.9465229832572
"2016/2017",2017,121,121,100,41.1296422522537,210.075829773531,67.2419978537359,53.5419123797355,92.196744474434,1838.97079669322,1636.5,1507.71833919485,1681,1625.5,1400,1560.5,79.0624183936343
"2017/2018",2018,120,120,100,48.5335457144121,206.554015544099,76.8842788626546,62.0849907143099,94.9196394834608,1847.52309890141,1627,1471.87399905109,1714.5,1592,1482,1577,80.0343816881168
"2018/2019",2019,120,120,100,47.7162224035908,186.283811006781,72.8032089673462,60.3705007502043,94.7572807670668,1959.32024106175,1725,1639.68645362267,1807.5,1709,1481,1689,84.215631975339
"2019/2020",2020,120,120,100,41.8348385396392,197.069188404453,62.494329507282,50.5987536938831,89.2263077142749,1932.14219160013,1790.5,1732.2084568319,1773,1830,1372,1781,83.8228799145436
"2020/2021",2021,121,121,100,53.3449308282656,233.029311194354,75.7131345225199,68.7666363845805,99.169161535379,1881.32567513779,1619,1470.20747253641,1746.5,1582,1524,1574.5,82.9274251331581
"2021/2022",2022,120,120,100,42.8877407280728,181.70483642463,72.2320569183564,55.2532419223791,91.9896939444986,1748.29469015046,1514.5,1342.51465057479,1577,1540.5,1360,1453.5,76.357286826852
"2022/2023",2023,120,120,100,54.9794489790996,208.563409587457,68.1449833168019,64.7987004603532,94.2495785975329,2170.30578716585,2032.5,1867.42157675374,2037.5,2014,1721,2008,87.4595492386825
"2023/2024",2024,120,120,100,47.7164977271434,236.402801954935,59.7768034565537,53.6864058676213,88.3522612420923,2052.34592858769,1923,1815.62675585675,1902,1943.5,1489,1885,85.943880117768
"2024/2025",2025,121,121,100,54.248539127131,233.663942614891,70.8430255514328,64.6620401740323,95.3612046932792,2130.14813315982,1933,1797.2252147802,1979.5,1891,1659,1882,87.5638553539125
"2025/2026",2026,120,120,100,37.441724521661,185.672837273733,87.6196508510109,53.1378483392305,97.6747431840156,1574.29044291322,1290,1131.59609345691,1451.5,1223,1324,1216,74.5070045575121
"2026/2027",2027,120,120,100,45.7546745489536,231.233919485324,63.5970695683346,57.0346719620055,91.6978590266612,1983.64977531187,1836,1749.24539991381,1845,1835.5,1448,1813.5,87.9373467237951
"2027/2028",2028,120,120,100,54.3799844411907,201.343929538034,81.0575960862132,70.5140731668417,99.7914128882425,2002.78949043195,1718.5,1517.80027520705,1875.5,1664,1714,1662.5,82.4400084991339
"2028/2029",2029,121,121,100,47.2413081176935,242.922306803694,68.1663486004697,59.6525672450811,93.9043843680951,1881.77370503667,1692,1514.81903796063,1746,1624,1496,1591,81.7561511523445
"2029/2030",2030,120,120,100,44.9263140426126,208.237849460595,71.9941829013186,57.4827422785136,94.5076160747366,1884.62768815599,1636,1532.50540059133,1735,1638,1422,1612,83.4111043759667
"2030/2031",2031,120,120,100,54.8839640601505,264.068621360601,68.8152997805026,64.5616467325585,94.2802877562165,1960.1654972367,1759,1652.36578304468,1811,1755,1524,1738,84.4894901476046
"2031/2032",2032,120,120,100,48.0816732991795,238.935595853626,63.1973763289063,56.5166681940053,90.9914589085877,1976.78520272546,1847,1768.35988939705,1845,1854.5,1419,1838.5,85.4499928346281
"2032/2033",2033,121,121,100,50.2193344573783,207.695674307485,79.283140178665,64.9464521620099,99.5281494018304,1906.80403454763,1659,1507.24637248308,1764,1610,1521,1610,83.7150045350463
"2033/2034",2034,120,120,100,45.333037308178,219.353044908593,75.7832521764616,59.230412943215,94.5877386370497,1800.48756106621,1572.5,1376.89528651589,1674,1537.5,1450,1498.5,78.3040301811725
"2034/2035",2035,120,120,100,43.130149397813,187.149473951967,73.9834265450127,55.7264092461514,93.5154386446119,1803.30632704883,1562,1421.72062508011,1661,1557.5,1420,1506.5,77.9015663900464
"2035/2036",2036,120,120,100,45.528614785012,205.739172404002,71.6130403282285,55.7010611709084,92.2668325168767,1912.12417991227,1711.5,1661.9093720806,1766.5,1724.5,1409,1710.5,85.2379665123262
"2036/2037",2037,121,121,100,47.6377192966141,210.581347415345,77.4567834929083,65.3497789916897,98.8832886261257,1912.95129227711,1620,1477.53326955907,1764,1579.5,1585,1561,80.804999695134
"2037/2038",2038,120,120,100,45.9576811046854,196.001938946138,69.6183494128671,55.1040949120165,91.4901116771077,1914.71789601914,1783,1664.9291935708,1796.5,1761,1439,1744.5,83.0563057957497
"2038/2039",2039,120,120,100,37.4400609637678,194.008638227375,61.0994459573651,45.3535378583307,87.591174922552,2008.9266177792,1942,1910.02651474566,1902.5,1966.5,1377,1949.5,88.6472135143322
"2039/2040",2040,120,120,100,57.5600522740927,238.699484781398,65.8966714634928,65.3113064445495,93.1252045929646,2110.28872026615,1910,1757.32062347834,1942.5,1930.5,1630,1896,85.5907273014236
"2040/2041",2041,121,121,100,52.6856406769525,235.699923980628,66.741785141188,62.0657764353368,93.7202603966324,2135.36922624349,1977,1841.97420335972,1986.5,1974,1662,1963.5,89.4488068494811
"2041/2042",2042,120,120,100,34.8584505736282,134.820823798387,68.2875483000267,40.4879549088699,84.7089734046348,1857.12487417433,1761,1796.37394199885,1691.5,1848,1121,1816,84.5811065445541
"2042/2043",2043,120,120,100,54.9814062327462,239.326543533496,76.0571431235131,71.8459850387979,100.396877989428,1978.03282908298,1658,1457.27092300037,1852,1579,1696,1572,84.2459743107756
"2043/2044",2044,120,120,100,51.1764402873729,237.439620741217,65.7896405347315,58.5600519631592,91.9924961246309,2124.25378336955,1982.5,1879.93612803023,1974,1991,1612,1972,87.5053782133082
"2044/2045",2045,121,121,100,49.9670204784164,218.273049387122,82.2615820842935,62.5894852562206,97.3446390376218,1870.43758712767,1640,1499.87431916344,1739,1599.5,1550,1593,79.7020511123765
"2045/2046",2046,120,120,100,45.9533195696923,220.700142054222,70.7574696693176,58.2633064973723,93.8233177236374,1864.62150005237,1639,1468.584962994,1703.5,1636,1469,1578,80.0688730175161
"2046/2047",2047,120,120,100,42.5518247167589,192.764353978661,79.2242187589104,50.7349049302175,90.9694211659893,1830.49624451782,1696,1587.53365262302,1702.5,1707.5,1373,1688.5,79.6653574458569
"2047/2048",2048,120,120,100,56.5571128615174,224.386362385628,72.0673263500472,67.9320459144986,97.1201255510364,2139.97260534394,1906.5,1761.17687001504,1986.5,1890.5,1719,1889,88.2599430151049
"2048/2049",2049,121,121,100,53.8939413071636,247.0518868836,73.5280034014039,68.7287102896531,99.8127279589634,1992.06941635019,1713.5,1581.42148366695,1846.5,1687.5,1606,1683.5,84.7582665613354
"2049/2050",2050,120,120,100,64.179579051812,262.091557627597,78.2489273735414,79.8176449642986,101.943142507581,2059.39097499228,1738.5,1495.03782123674,1922.5,1641,1824,1640.5,83.0939919302991
"2050/2051",2051,120,120,100,52.3605325670688,228.340351792113,69.9809236976346,64.3775696518194,94.8366540655342,1893.30614312456,1637,1432.29276520845,1756.5,1572.5,1532,1537,81.6645897338658
"2051/2052",2052,120,120,100,44.559003517108,210.958003300042,68.5267709505965,50.8160745040393,87.4479558974127,1922.5705462016,1784.5,1678.55366545967,1770,1818.5,1408,1765.5,80.1951982436749
"2052/2053",2053,121,121,100,45.8229764703757,194.560726502684,68.5190686824835,53.9614295450587,90.5248067166542,1984.41767603031,1861,1741.89650220865,1849.5,1852,1472,1821.5,83.5467839277098
"2053/2054",2054,120,120,100,43.8330072744916,199.271850831235,64.7746001425284,54.4785696446078,90.9705546223819,2008.50461443933,1846.5,1751.56269602846,1861,1860.5,1487,1832,84.8684646807469
"2054/2055",2055,120,120,100,50.333725386663,216.753205764481,70.5272389453166,61.237071552677,94.8070139325956,2037.13450537785,1837,1720.30434271756,1900,1842.5,1567,1837.5,85.725483260725
"2055/2056",2056,120,120,100,52.9625029170338,220.734505651361,68.2464457314852,65.6041390448893,92.7145601870681,1970.12770309002,1659,1425.6667344944,1721,1689.5,1661,1562.5,78.8247676424653
"2056/2057",2057,121,121,100,42.7887352859358,201.12444956856,76.8814255812424,56.2967644477582,95.9349051034199,1917.83046201681,1693.5,1576.67992567059,1770.5,1683.5,1492,1677,80.9174236429817
"2057/2058",2058,120,120,100,58.4970731512438,249.929225430336,65.44413307887,66.1008759821126,92.8539912637825,2123.04346742225,1978,1845.0248584372,1999.5,1962.5,1657,1940,85.9664964390922
"2058/2059",2059,120,120,100,52.5211693510147,239.571809479562,77.5458460558189,68.494280669904,98.091485281879,1915.20011338528,1623.5,1458.94846133066,1792,1577,1584,1572,82.6692572589618
"2059/2060",2060,120,120,100,39.5241220884624,185.861780485226,69.0450424367949,47.3500516456148,88.5797081156978,1797.07100372782,1645,1575.04148056978,1650.5,1668.5,1276,1631,80.2617423542506
"2060/2061",2061,121,121,100,43.1974638875139,213.321914467831,63.173389849788,52.3559451212345,89.034658213502,1820.52994373065,1643.5,1540.72075657816,1680.5,1674,1284,1603.5,80.4997778601455
"2061/2062",2062,120,120,100,47.9976752130857,201.158884287169,82.1254958830674,66.7889864515112,99.2130202149911,1958.21293528212,1671.5,1467.07841406597,1840,1612.5,1690,1606.5,80.7422475490921
"2062/2063",2063,120,120,100,54.7175020522578,250.669193445042,73.8215336380732,69.0565231135404,98.3255565786651,2048.52502019133,1778,1551.4527954611,1913.5,1721,1760,1701,84.2623980281423
"2063/2064",2064,120,120,100,40.5521011509674,183.715657809299,74.4086076551437,56.6975966752925,94.7393724464,1772.32063937542,1564.5,1472.41367780251,1656,1538,1366,1518.5,82.7372725204241
"2064/2065",2065,121,121,100,52.2763100170341,240.492582365303,68.5818880351051,64.2500803737769,95.6366743581374,2101.40569998798,1904,1758.69401414709,1975.5,1884,1669,1876.5,87.7619276609003
"2065/2066",2066,120,120,100,60.5733861290696,269.84027043508,64.1463068247538,68.1704281240963,93.6686460016511,2259.01088248598,2088,1979.78285572627,2103.5,2104,1729,2097.5,90.2951713952643
"2066/2067",2067,120,120,100,47.4031756941002,212.454733125857,81.218573692967,59.227161440252,96.3416214983066,1814.40065884485,1598.5,1433.95979243742,1686,1567,1480,1558,80.365121790066
"2067/2068",2068,120,120,100,36.2438877686353,179.918820562339,60.9721016903419,44.7642496375002,87.263141472014,1761.33805672682,1634,1675.90749788001,1603.5,1714,1045,1683,85.9798178439069
"2068/2069",2069,121,121,100,49.4463247942044,215.724445824427,71.5632450178683,60.8087016097618,95.4875169714802,1896.33783229304,1729,1597.16105944816,1796.5,1688,1502,1676,84.3701804048651
"2069/2070",2070,120,120,100,41.1135112978204,211.225803745796,69.8138664876666,48.9239733069084,91.0880752706463,1931.83842150087,1805.5,1725.09590867994,1798,1797,1406,1787,82.9239744036186
"2070/2071",2071,120,120,100,49.2343366994848,222.752835797485,68.2866049823443,63.5538598907869,94.7897254097071,2025.28801660117,1829.5,1629.23716856038,1894.5,1779.5,1629,1749.5,85.2661507009179
"2071/2072",2072,120,120,100,42.1890826586914,187.395334622559,74.55112179075,56.9466637284021,95.3070864358545,1832.85829660011,1610,1482.23141395708,1719.5,1586.5,1384,1573,80.3942383819922
"2072/2073",2073,121,121,100,34.8813483665434,193.868463635376,62.5069924318007,39.5517227813192,85.0759483212741,1868.22174172651,1775,1752.00406492397,1680.5,1836.5,1181,1792,84.9102593558
"2073/2074",2074,120,120,100,41.9172106773838,186.031198974997,75.48013556686,52.0367738485051,90.0746708551308,1680.7582906757,1468,1285.17386039337,1492,1490.5,1312,1393,74.5703613663536
