"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,26.9254995864101,108.989843164797,58.3017581410397,31.7801286501099,78.3496202428699,1534.36908082512,1536,1456.58505134532,1451,1538.5,937,1431.5,72.8266197842674
"2002/2003",2003,120,120,100,42.4482012126343,167.785417201703,66.2712304185016,51.1165679860393,89.2508545574598,1922.21945082245,1747,1765.39901544064,1773.5,1808.5,1266,1785,85.8228106093657
"2003/2004",2004,120,120,100,33.9170080698276,162.812612186036,56.6095284394924,37.3351633440827,81.9958416459003,1861.72566733089,1845.5,1880.94381260105,1740.5,1913.5,1072,1872.5,84.9007726933759
"2004/2005",2005,121,121,100,31.3290409099432,142.871930842495,52.8944702878961,33.5588184486012,76.7677806332231,1605.36558762798,1598,1504.83401375145,1450,1611,935,1456,70.8523684497174
"2005/2006",2006,120,120,100,28.0508447001366,116.655248681776,60.4089454112682,31.7027744089228,80.5736947806176,1633.89220706377,1625.5,1653.77072808561,1525.5,1634.5,917,1587,76.9870896985688
"2006/2007",2007,120,120,100,33.4229405734876,171.848137570333,57.1989445728241,39.5310467576628,82.6342923435555,1813.93245097453,1796,1698.74435902352,1715,1775,1198,1718.5,81.3008170089879
"2007/2008",2008,120,120,100,39.7110091599247,144.947146926074,67.3480558601556,47.548841717356,88.8064398705443,2005.85302526518,1908.5,1910.30571202054,1842,1965.5,1331,1950,87.4993837946469
"2008/2009",2009,121,121,100,27.8668256346169,133.916226541067,55.1468048017045,31.7648120148204,78.3373603209783,1629.67840446216,1598,1539.99227929064,1465.5,1655,937,1508,74.4797408218612
"2009/2010",2010,120,120,100,33.0008207829283,137.770043156149,56.8664412750132,35.7878998535709,80.9581251241365,1897.645520061,1923,1966.05245885905,1781.5,1963,1142,1921,86.5743710254937
"2010/2011",2011,120,120,100,30.0225352000525,129.718575649386,58.6133084599076,33.6034594593257,81.4311920667721,1813.52855721573,1821.5,1865.58598097942,1710.5,1858.5,1044,1826,82.3440421332145
"2011/2012",2012,120,120,100,36.2952681006219,137.88822952333,65.6742562191341,45.4663897991928,86.2242201403526,1756.03980204527,1610.5,1494.87689943637,1618.5,1623,1229,1528,76.1835308564182
"2012/2013",2013,121,121,100,36.0319700863432,167.749716217733,59.7177915788902,38.6201485263412,83.516253290759,1850.92435704303,1817,1875.51384949387,1720,1880,1090,1845.5,86.3581073516336
"2013/2014",2014,120,120,100,39.0053047182288,157.449261407911,69.9195872330024,50.4740445052677,89.1907087155116,1614.70755490466,1471.5,1285.62223714525,1530.5,1392,1220,1335.5,72.7069865566075
"2014/2015",2015,120,120,100,31.1111270338369,122.497161869664,58.4657944121867,35.6372114129182,80.3952702170561,1714.38765177272,1638,1644.87299098245,1535.5,1719.5,998,1621.5,77.4547330669466
"2015/2016",2016,120,120,100,33.2458892071794,133.849081208444,60.7888737881113,42.9693186391332,83.8856690474841,1702.33439850494,1611.5,1538.8316551697,1558,1649,1105,1567.5,77.1137839678349
"2016/2017",2017,121,121,100,33.1133372460139,143.750434069594,57.6341896184497,39.8321851116552,81.3999859438478,1673.58851191334,1544.5,1472.44625918505,1466.5,1636.5,1051,1488.5,76.7983890122462
"2017/2018",2018,120,120,100,39.7505024165962,159.210063068666,65.6837640569851,46.8481989286161,85.254660604865,1801.99434757321,1693,1621.38948768442,1662,1723.5,1244,1654.5,79.0218660606733
"2018/2019",2019,120,120,100,37.3328000550703,136.623953425611,62.0572405675961,43.8921122951978,84.1113694223254,1810.4336247606,1775.5,1709.86012450143,1714,1768.5,1174,1712,80.0079638235711
"2019/2020",2020,120,120,100,28.5190556017999,118.15654960593,53.5867299161024,32.1782325155829,77.2144018201049,1560.52349058486,1502,1511.49811359614,1384,1597,827,1467.5,77.6663651667636
"2020/2021",2021,121,121,100,47.4395893151613,205.573500196462,64.8726857805301,53.3378113260287,89.2022077420067,1938.26188954186,1851,1743.45096636659,1818.5,1833.5,1398,1796.5,84.8345397558705
"2021/2022",2022,120,120,100,35.754303249056,137.949085718593,61.6864688399912,44.0208691728331,82.5136561830417,1710.82142549683,1510.5,1398.82813254119,1432.5,1636,1151,1453,73.7605966819469
"2022/2023",2023,120,120,100,37.1194825987464,127.471988676597,58.1467443510064,39.840061818865,81.6099873451847,1864.60695506522,1836,1888.67611435578,1722,1910.5,1060,1863,83.770547928646
"2023/2024",2024,120,120,100,27.8757719149827,118.772362668602,51.3235628693895,28.7751097410766,74.8147844346292,1623.02429661601,1610.5,1602.99964913669,1436,1719.5,843,1571.5,74.6926462589777
"2024/2025",2025,121,121,100,38.4605673504889,142.791248693944,60.4885953216432,42.3384050968159,83.553226364767,1909.01203756505,1883,1886.07524745102,1803,1936,1205,1892.5,85.0310343529582
"2025/2026",2026,120,120,100,39.1309363397403,156.487042476322,75.0670139559844,52.4894013568751,92.5949836122935,1778.84960734578,1586,1428.29539076572,1658.5,1545,1355,1504,79.0831725921112
"2026/2027",2027,120,120,100,33.1420117382342,152.45728328961,54.4857913319828,36.0978596067927,79.1587449848224,1667.67632430403,1687.5,1646.11250670633,1578,1707.5,980,1622,79.9038212378364
"2027/2028",2028,120,120,100,48.1692366808722,156.946706473486,68.9745161461625,55.6559918042895,90.4645145244211,2097.92536615042,1949.5,1907.10591279408,1945.5,1991.5,1520,1975,87.3049557560989
"2028/2029",2029,121,121,100,39.1212344233878,173.037406100888,58.3999032921359,43.9526902621811,82.9737773816219,1770.61306240417,1696.5,1581.49136991937,1595.5,1756.5,1157,1636.5,78.9250669371636
"2029/2030",2030,120,120,100,38.2962794012776,141.713411131398,61.443616689278,43.9276039333024,83.6316135831172,1800.75141578692,1740,1639.99898933282,1668.5,1750.5,1187,1676,78.5911774582714
"2030/2031",2031,120,120,100,36.3448745448571,185.151463259302,59.0463403057606,40.016138072356,83.2423784418672,1810.78800299365,1742,1755.370710746,1664,1818,1102,1760,80.7719210214982
"2031/2032",2032,120,120,100,29.2211949262238,151.049739282755,54.2535701444777,32.7667745497593,79.0188737347641,1669.0839209306,1658.5,1652.76881940533,1555.5,1707.5,951,1635,78.2907862188963
"2032/2033",2033,121,121,100,43.7850705942927,169.934827451807,67.7436498649448,52.8289110901839,90.2979480856708,1927.25043336206,1816.5,1774.38319952525,1806,1822,1300,1807.5,83.9819573435602
"2033/2034",2034,120,120,100,38.9589230527057,160.866622591663,64.8048530566439,46.3932320949182,85.063252573435,1782.87529308043,1655,1540.94101619279,1605.5,1705.5,1252,1599,79.2452600195866
"2034/2035",2035,120,120,100,36.3713742888723,129.92915850594,62.940664187583,44.2358511800863,84.2610056781075,1768.28129700768,1618.5,1517.24631847533,1586.5,1678,1202,1556.5,77.4151595535113
"2035/2036",2036,120,120,100,32.4304999809145,132.948316773461,61.0970814444704,36.2460749677484,81.5475096194802,1673.73712783579,1668.5,1636.78554074423,1607.5,1684,1023,1631,80.1396849689054
"2036/2037",2037,121,121,100,44.9049806373818,173.704727844402,66.3146320390886,53.0360066114348,89.1846364554724,1943.33916904546,1826,1746.5646692207,1787.5,1849,1329,1804.5,84.8407725097213
"2037/2038",2038,120,120,100,29.7494427726459,124.494142458538,59.4724727630322,36.0155926015393,80.7666742693289,1652.36182847452,1591.5,1580.72009739325,1530.5,1648.5,981,1570,77.3553379272544
"2038/2039",2039,120,120,100,24.3161686704699,87.0590064863455,52.2222086552532,25.8965323938061,74.5664694524425,1519.22730121404,1590,1590.64547180809,1423,1607.5,735,1516.5,76.7746639449124
"2039/2040",2040,120,120,100,37.2189213417318,152.405262891632,56.3574606560277,39.8505678953281,80.7387521064056,1846.58827411596,1832,1803.42242431022,1697,1909,1138,1822.5,81.1448908078391
"2040/2041",2041,121,121,100,35.6653440391799,138.948725385029,57.088809237797,37.8216888518837,81.0269927272309,1831.79878545637,1795.5,1840.77657491389,1690.5,1891.5,1078,1824,83.4992693835156
"2041/2042",2042,120,120,100,20.3705410539205,66.3849928942905,57.929873488132,22.5350693408904,73.424538998177,1327.16122644299,1417.5,1391.16633760156,1268,1404,656,1289,72.7320134915599
"2042/2043",2043,120,120,100,49.6620156366406,197.385941148936,64.9932516044742,57.2031721277792,90.3491837255834,2104.09500293653,1997.5,1895.81044459493,1978.5,2011.5,1557,1995,87.7780984545634
"2043/2044",2044,120,120,100,28.5840588972507,130.887966555207,56.1841626585622,33.0536847789638,80.313923523583,1768.82127566429,1761.5,1837.84864540741,1649.5,1833.5,964,1782,83.97489070963
"2044/2045",2045,121,121,100,39.6662785947751,158.423812466374,70.1020627124342,46.2518750932832,89.3904436483305,1862.26300959849,1735.5,1745.10946961345,1736,1793.5,1218,1775.5,83.256979867846
"2045/2046",2046,120,120,100,37.0884186327054,155.83553037416,60.5774384165729,44.2674165890123,83.7440173957119,1803.09134837068,1654,1579.94399985906,1586.5,1721,1216,1605,77.9081628850245
"2046/2047",2047,120,120,100,28.0615919851825,112.206872293711,67.3884782231188,34.4773015420619,83.0331211560819,1616.49865658102,1555,1581.06701436169,1475.5,1600,947,1543.5,79.2200897550611
"2047/2048",2048,120,120,100,40.9872938404957,154.934200753989,61.5162199321937,46.1926404288901,85.6266847186718,1982.22601641218,1920,1955.71956494118,1875.5,1982,1266,1963,86.2068233065256
"2048/2049",2049,121,121,100,46.4859740379456,197.319049585578,62.8846151812269,53.1224616082073,89.2525105162236,2036.88403191982,1939,1888.58481912768,1884.5,1960.5,1357,1936.5,88.5620234931966
"2049/2050",2050,120,120,100,52.9644819417092,208.609570649287,67.0040481737323,59.3862317821906,92.1308553554539,2192.97218140619,2085,2003.46209282774,2059,2118,1621,2114.5,89.6648726347248
"2050/2051",2051,120,120,100,41.9429682985434,175.073703791095,59.9557411296297,48.1734189345468,83.7553823435639,1844.63986121025,1773.5,1585.12184910953,1708.5,1797.5,1377,1666.5,76.9988775060292
"2051/2052",2052,120,120,100,25.2273069521104,104.030128120028,58.5278659807827,27.7562026377998,76.1369917765909,1557.57966718826,1511,1502.94970592322,1362,1630,855,1474.5,74.1260326416777
"2052/2053",2053,121,121,100,28.690798321798,106.738991307378,58.5398823422231,31.7103675892321,78.7454732552201,1630.83030215793,1600.5,1608.50934418958,1504,1678,902,1575.5,77.0879751743123
"2053/2054",2054,120,120,100,32.8003170293023,115.516445278982,55.3102302206569,36.2405128776939,78.2773967668586,1684.77840490369,1668.5,1637.01295892536,1534.5,1739.5,970,1630,78.4504937304182
"2054/2055",2055,120,120,100,35.9972055388165,143.694177658211,60.2593340758173,41.4608713807098,83.8757739338767,1836.8180277466,1806,1804.21851330164,1733,1836.5,1165,1796,85.6266991976863
"2055/2056",2056,120,120,100,42.2477042318487,147.711235523479,58.2747178389676,46.3183784740935,80.6340070544072,1896.77843955936,1676.5,1583.60214884459,1509.5,1875.5,1294,1636.5,78.1218231010453
"2056/2057",2057,121,121,100,35.8596480906072,130.976258161801,65.8387743468151,42.6923450737372,85.8729739750606,1817.48481468644,1707,1676.31906575265,1661.5,1736.5,1144,1676,80.465644005506
"2057/2058",2058,120,120,100,33.4642641192542,152.515075286172,55.9752690649093,35.2920156035809,79.9879925441526,1835.32218160332,1830.5,1858.07059121737,1684.5,1897,1063,1833,81.7826542572475
"2058/2059",2059,120,120,100,44.8708288350414,191.87895338984,66.5032367992161,52.6122807708333,88.6315272517626,1962.63393830191,1893,1782.52583744747,1854.5,1891.5,1410,1866,83.908204393565
"2059/2060",2060,120,120,100,26.6600777983776,115.160406368952,58.8900952735943,32.6381060204059,78.8759134162529,1540.95074571916,1463,1425.17008202451,1374,1522.5,882,1392,72.8234195823979
"2060/2061",2061,121,121,100,27.2011886163445,136.84524482565,54.2041761340681,32.1851513205652,77.3828020591289,1575.56087999302,1464,1363.91191414753,1337,1579,915,1371.5,72.5674868681917
"2061/2062",2062,120,120,100,47.4995040077549,158.118661722727,69.9609203787557,55.77344453291,90.2181397226285,2048.79030507131,1944,1866.3371031748,1904,1975,1483,1950,86.6386365123326
"2062/2063",2063,120,120,100,44.5637223946601,171.224921081771,63.1574264919018,50.4671309924194,87.9040558903618,2071.75156752352,1952,1905.83321431772,1879,2034,1413,1987.5,85.8391885227456
"2063/2064",2064,120,120,100,40.7000454930747,151.12996248397,63.6197942757242,46.5850433384802,84.5294890997426,1711.27258631875,1650.5,1542.99012578459,1597.5,1642.5,1138,1583,78.2122522373365
