"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.5744175078636,157.935292812138,77.5172903565222,50.6594295015848,92.0659877067543,1796.93890022447,1569.5,1547.66449306524,1670,1593,1289,1577,80.3444461700653
"2002/2003",2003,120,120,100,47.7303589831224,176.706981443543,87.4505162375168,64.2422077490294,100.430833817282,1840.9149670874,1551.5,1381.34229247394,1720,1507.5,1593,1506,78.3661960401505
"2003/2004",2004,120,120,100,61.3185835180367,230.493758320789,74.7372878842531,73.6513628528081,98.882434000826,2170.81429270996,1924,1744.18406457618,2027.5,1906,1755,1904.5,87.2805246232872
"2004/2005",2005,121,121,100,49.39827993542,193.708090299137,69.6022011005548,62.173332426055,95.2334528202897,2074.72191684446,1863.5,1769.06121031937,1925.5,1879.5,1524,1870.5,88.4561828491067
"2005/2006",2006,120,120,100,49.8202298256573,194.437515340155,80.0567079754392,60.8580998737406,94.53644180645,1970.04520810093,1782.5,1640.94292272374,1860.5,1747,1605,1745.5,84.342603747558
"2006/2007",2007,120,120,100,50.1555212133531,226.688510723432,75.7399925215844,63.083982522002,97.2823799985714,1919.16909735563,1661,1537.39600281012,1788.5,1621.5,1508,1620,81.086283549735
"2007/2008",2008,120,120,100,52.5212599018291,196.105279447465,88.9890122618784,69.0130455194611,100.729023139716,1931.26973684689,1622.5,1376.70784973553,1804,1537.5,1721,1537.5,75.6192988644309
"2008/2009",2009,121,121,100,50.0257097346896,215.557489030167,72.760444515688,59.3397928567475,94.3285028993284,2031.34490256217,1848.5,1716.41244915614,1882.5,1850.5,1573,1838,84.39684881072
"2009/2010",2010,120,120,100,64.4380950170588,232.301947997157,74.8335118501734,76.0517381525358,98.6846420704913,2310.16850138979,2081.5,1837.29309838815,2174.5,2011.5,2009,2010,86.4555913488623
"2010/2011",2011,120,120,100,59.4396768150011,222.120836151692,77.1951248605439,70.2034551279834,97.7911347268165,2158.01867548839,1917.5,1757.01004738986,2001,1911,1754,1911,84.9662797130018
"2011/2012",2012,120,120,100,41.7910499270026,155.60160703738,87.0487818707905,55.1985057244347,96.5536427410424,1692.99366371839,1452,1295.9481928209,1577,1408.5,1361,1396.5,73.3553029355521
"2012/2013",2013,121,121,100,56.9480506221617,221.521587901127,78.9169797785841,71.7584265878009,99.8155878856511,2092.43918104664,1824,1647.18728843471,1962,1775.5,1786,1774,84.4549888347178
"2013/2014",2014,120,120,100,27.0785477859061,103.959121739302,92.8144382582856,42.5300973305027,95.5372775966499,1356.98521942563,1122,1064.85008423066,1244.5,1094.5,989,1086.5,71.0253817311207
"2014/2015",2015,120,120,100,50.2217140826322,183.834252536431,77.5844421250882,62.4616168420229,95.0652418122367,1962.07371350052,1786,1580.54240461157,1856.5,1734.5,1614,1718.5,79.2547503476499
"2015/2016",2016,120,120,100,44.6761757440585,158.442594533167,80.2849041769993,57.2249170280946,96.2401865000485,1824.3232930654,1624.5,1458.11740960216,1743,1576,1467,1574.5,79.1227389192154
"2016/2017",2017,121,121,100,42.468869276947,177.071316457485,76.4511391428174,55.9618493442927,95.2718744567665,1788.24592135905,1562.5,1430.23267198329,1660.5,1534,1404,1501.5,80.1756174576349
"2017/2018",2018,120,120,100,44.0157103532687,163.294362703236,87.0314690861126,61.5079555799796,97.4529059032811,1750.65280800089,1482,1299.08434496386,1633,1419,1456,1411,75.4023149321492
"2018/2019",2019,120,120,100,46.9048279412241,159.732308278835,82.0695141260941,63.1736681729215,98.1187226159761,1929.12662917007,1643,1511.38434163593,1783.5,1618,1553,1610.5,81.837196633302
