"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,100,61.5895821930305,248.494251713564,76.3052778526248,76.0273333333333,99.7824074074074,2135.10508054296,1902.5,1656.18054179728,2019,1808,1870,1807.5,85.393275212191
"1974/1975",1975,120,120,100,62.1332785987958,270.685404480936,66.3958868434832,71.3156666666667,95.2615740740741,2226.56911351973,2067.5,1959.74030603003,2087,2074.5,1748,2073.5,90.1376407987015
"1975/1976",1976,120,120,100,56.949461777048,201.82084600469,81.9038193091721,69.6481666666667,98.9814814814815,2004.51633937224,1754.5,1572.81299646323,1887,1725,1724,1724.5,81.2494223013105
"1976/1977",1977,121,121,100,53.0660463419084,207.312083905678,81.0917075223423,68.4235,100.472222222222,1996.08784852551,1724.5,1563.80960904671,1873,1689,1679,1689,82.8210098889789
"1977/1978",1978,120,120,100,47.6870096697683,177.1299745671,81.978273871772,65.0515,99.6759259259259,1810.11236758339,1553.5,1328.7296950653,1710.5,1481.5,1597,1468,78.6555721334184
"1978/1979",1979,120,120,100,28.6065498996533,155.916412757382,96.3937424872262,49.2063333333333,99.3333333333333,1392.81598494023,1054.5,926.142969454391,1282.5,979,1151,979,68.1670649499727
"1979/1980",1980,120,120,100,53.2028826856413,249.838501691017,77.9824273010248,69.8425,99.3287037037037,1909.95236410138,1599,1428.36239496402,1793,1508.5,1652,1508.5,82.6618525773076
"1980/1981",1981,121,121,100,36.6101076445904,166.295879728217,86.6493921057689,62.2861666666667,104.134259259259,1597.64319365639,1238,1039.36450979662,1494,1118.5,1417,1116.5,74.3822840564317
"1981/1982",1982,120,120,100,38.4884145228973,198.69145799677,87.4835920634592,59.2103333333333,99.6296296296296,1597.29625325201,1332.5,1118.42377394206,1510,1234.5,1419,1232.5,74.6062284185521
"1982/1983",1983,120,120,100,45.4369640576537,204.254867612709,75.9795244481083,59.4161666666667,97.2523148148148,1967.82064266628,1697,1556.82376345692,1820.5,1664,1643,1660.5,84.2772906014006
"1983/1984",1984,120,120,100,51.6739646049991,218.750325076606,78.853831688516,68.3218333333333,101.113425925926,1849.3061418165,1569.5,1315.95079791973,1741.5,1481,1618,1475,81.6980586625305
"1984/1985",1985,121,121,100,46.38660828316,209.104328677052,94.7222518917205,57.9258333333333,93.9583333333333,1607.24958958906,1381.5,1196.68491879859,1509.5,1334,1365,1333,72.447470887196
"1985/1986",1986,120,120,100,31.5841087392811,152.417346857517,91.3106965865607,49.001,97.9074074074074,1452.28520690378,1151.5,1034.04841296879,1331.5,1107,1176,1101.5,68.7447845772515
"1986/1987",1987,120,120,100,38.0906768837803,195.875489448069,89.1215611444104,53.2001666666667,95.6226851851852,1597.01181730688,1313.5,1182.70817544131,1470.5,1257.5,1291,1252.5,73.3768097239622
"1987/1988",1988,120,120,100,58.6024448093414,239.140116662982,73.4590695006694,72.5396666666667,97.5115740740741,2211.63266198892,1931.5,1786.46377328344,2058,1894.5,1834,1893,87.6546781588518
"1988/1989",1989,121,121,100,62.3198321474183,286.002162126645,71.0812709997138,73.7438333333333,98.5763888888889,2250.84437817158,1992,1851.81358230049,2079.5,1984,1830,1983.5,90.7279375008848
"1989/1990",1990,120,120,100,48.3602444809341,250.332405211337,67.7994636735638,62.6891666666667,95.6134259259259,1971.69825597087,1712,1586.42746824454,1862.5,1696,1574,1673.5,83.1488120407103
"1990/1991",1991,120,120,100,45.3607918263091,188.698981553611,83.9788275446107,62.6708333333333,100.25462962963,1785.24837424903,1482.5,1307.33886577357,1661.5,1432,1500,1429,77.9117327132317
"1991/1992",1992,120,120,100,55.4830322933771,226.262857288445,77.3331442034548,70.8186666666667,100.344907407407,1983.46405117046,1741.5,1513.74090572653,1860,1671,1697,1668,83.3508657471934
"1992/1993",1993,121,121,100,50.4346834519248,233.697189837741,75.4413819246834,62.5608333333333,97.5416666666667,2033.48012681761,1835.5,1623.66129548908,1922,1780.5,1685,1780,86.3385905551586
"1993/1994",1994,120,120,100,58.2411968618865,208.861878397404,79.176430206675,70.5441666666667,100.238425925926,2060.9659771132,1825.5,1580.33866581397,1950,1764,1816,1762.5,82.4343071552807
"1994/1995",1995,120,120,100,43.2010582010582,212.916880296236,68.088037796882,53.2218333333333,91.2106481481481,1945.26942682565,1836.5,1741.06586061115,1830.5,1815.5,1409,1801,85.8650360211154
"1995/1996",1996,120,120,100,35.7877212187557,139.672379160253,90.6967649039474,58.2145,102.775462962963,1579.56780287798,1215,1045.37847114095,1440.5,1143,1387,1139,72.0318175749971
"1996/1997",1997,121,121,100,41.4627805145047,168.960777870199,88.3557549659077,58.8061666666667,97.4652777777778,1719.5605678076,1481,1309.40975300407,1624,1400.5,1434,1398,75.2336015686469
"1997/1998",1998,120,120,100,49.116949461777,210.914537886764,70.1049068652082,61.419,95.6759259259259,2031.45835874595,1819.5,1703.64380419822,1890.5,1806,1575,1799,86.0386586362238
"1998/1999",1999,120,120,100,21.4262908228425,100.61955511149,81.7400930052975,31.0521666666667,48.1180555555556,2012.427155385,1734,1499.67540371704,1870,1647.5,1740,1647.5,77.3667430803662
"1999/2000",2000,120,120,100,0,32.2386148536845,76.5801686993661,0,0,2317.15344505775,2091.5,1863.70413333618,2154,2053.5,1931,2050.5,88.5825239399737
"2000/2001",2001,121,121,100,0,52.3675257593945,75.7310158257247,0,0,2011.88458350727,1728.5,1680.74367570689,1887.5,1740,1559,1740,83.5011569083335
"2001/2002",2002,120,120,100,0,45.0308810810399,79.3037212821091,0,0,1837.44260250061,1590,1510.53990520949,1700.5,1593,1376,1586.5,80.9231338328245
"2002/2003",2003,120,120,100,0,71.0760571050416,78.0067188285058,0,0,1808.20243867183,1597,1504.42954727667,1660,1583.5,1391,1575,82.8553518799636
"2003/2004",2004,120,120,100,0,69.0878274330197,73.8612246476653,0,0,1959.94339159509,1750,1546.15717034371,1848,1688,1620,1677,80.9141925988779
"2004/2005",2005,121,121,100,20.1623791278964,134.172327089892,83.4332738715187,30.6915,50.1967592592593,1874.20176229307,1512.5,1375.91552438884,1740,1467.5,1565,1467,77.6213853742483
"2005/2006",2006,120,120,100,47.4375114030286,154.884200393357,86.3331772906897,68.876,102.849537037037,1847.04464505453,1514,1225.53443580541,1731,1393.5,1694,1385.5,76.1909090131403
"2006/2007",2007,120,120,100,45.5760810071155,188.817529536436,65.2481422896032,51.0225,88.7430555555556,2079.36506972402,1974.5,1975.07986695958,1965,2030,1433,2021,87.7552443114155
"2007/2008",2008,120,120,100,55.1153986498814,227.057701475302,71.8779478752065,67.6011666666667,97.2476851851852,2095.16703799171,1880,1751.09943501122,1969,1867.5,1648,1867.5,86.5661875752758
"2008/2009",2009,121,121,100,47.6167670133187,183.280358089827,85.9520162422941,68.9413333333333,102.576388888889,1890.91217675395,1521,1327.3145330529,1786,1440.5,1714,1440,79.0530023137762
"2009/2010",2010,120,120,100,33.0432402846196,123.064092261905,88.5100584221823,48.3106666666667,95.7546296296296,1597.19899012891,1326,1255.99771487539,1468,1304,1208,1300.5,72.216796596138
"2010/2011",2011,120,120,100,37.9875935048349,140.308770021645,89.4611667564412,55.0086666666667,98.4166666666667,1586.31796037694,1223,1114.58020486626,1473,1185,1313,1177.5,68.7534838818638
"2011/2012",2012,120,120,100,56.2598066046342,212.963576073232,76.601738332011,64.6763333333333,94.2106481481481,2048.18654796766,1876,1724.38307265835,1927.5,1877,1679,1868,81.0205881763504
"2012/2013",2013,121,121,100,43.366630176975,138.587134920635,85.4934202373484,58.3915,99.5115740740741,1878.23509350637,1579,1531.86529490271,1703,1610,1451,1610,77.2750619005319
"2013/2014",2014,120,120,100,69.3226600985222,250.191957431457,69.141182477909,76.2943333333333,95.9282407407407,2402.88531938952,2264,2046.3433933616,2281.5,2248,1990,2247.5,91.2109797139883
"2014/2015",2015,120,120,100,56.9823024995439,212.651713654401,76.2267112121522,75.0348333333333,99.6736111111111,2143.89880136435,1861,1615.39692639541,2025.5,1772.5,1861,1761.5,83.9049050715766
"2015/2016",2016,120,120,100,43.9203612479475,175.617155105311,66.0285227020824,53.1301666666667,89.2638888888889,1888.55953463708,1817,1676.8313250131,1822,1760,1415,1737.5,81.5862413880577
"2016/2017",2017,121,121,100,52.35312899106,202.384035592879,78.4367122668835,66.5625,99.9189814814815,2008.1137348928,1741,1563.11518178945,1898.5,1688.5,1718,1687.5,85.0036412863301
"2017/2018",2018,120,120,100,57.685641306331,212.673525523088,76.9982841815443,72.8521666666667,99.5277777777778,2173.11424991116,1907,1717.17363077777,2055,1865,1890,1864.5,84.2672292313864
"2018/2019",2019,120,120,100,53.3123517606276,232.422571768031,70.0824901422271,65.3633333333333,95.2893518518518,2042.63717479692,1816.5,1615.95717362886,1898.5,1749.5,1708,1716.5,84.409457126003
