"DATE","YEARMODA","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
1999-01-01 12:00:00,19990101,1999,1,1,-6,-3.38888888888889,-5.11111111111111,0,NA,NA,FALSE,FALSE
1999-01-02 12:00:00,19990102,1999,1,2,-5.77777777777778,-2.27777777777778,-3.38888888888889,0,NA,NA,FALSE,FALSE
1999-01-03 12:00:00,19990103,1999,1,3,-4.77777777777778,-2.38888888888889,-3.33333333333333,0,NA,NA,FALSE,FALSE
1999-01-04 12:00:00,19990104,1999,1,4,-4.11111111111111,-2.22222222222222,-3.16666666666667,0,NA,NA,FALSE,FALSE
1999-01-05 12:00:00,19990105,1999,1,5,-6.61111111111111,-3.5,-5.11111111111111,0,NA,NA,FALSE,FALSE
1999-01-06 12:00:00,19990106,1999,1,6,-7,-4,-5.22222222222222,0,NA,NA,FALSE,FALSE
1999-01-07 12:00:00,19990107,1999,1,7,-9,-5.72222222222222,-8,0,NA,NA,FALSE,FALSE
1999-01-08 12:00:00,19990108,1999,1,8,-9.61111111111111,-6.22222222222222,-8.11111111111111,0,NA,NA,FALSE,FALSE
1999-01-09 12:00:00,19990109,1999,1,9,-9.22222222222222,-7,-7.72222222222222,0,NA,NA,FALSE,FALSE
1999-01-10 12:00:00,19990110,1999,1,10,-10.9166666666667,-7.69444444444444,NA,NA,NA,NA,TRUE,TRUE
1999-01-11 12:00:00,19990111,1999,1,11,-12.6111111111111,-8.38888888888889,-9.66666666666667,0,NA,NA,FALSE,FALSE
1999-01-12 12:00:00,19990112,1999,1,12,-16,-9.77777777777778,-12.3333333333333,0,NA,NA,FALSE,FALSE
1999-01-13 12:00:00,19990113,1999,1,13,-15.2777777777778,-12.2222222222222,-14.1111111111111,0,NA,NA,FALSE,FALSE
1999-01-14 12:00:00,19990114,1999,1,14,-17.5,-14.1111111111111,-15.5,0,NA,NA,FALSE,FALSE
1999-01-15 12:00:00,19990115,1999,1,15,-17.1111111111111,-11.7777777777778,-13.8888888888889,0,NA,NA,FALSE,FALSE
1999-01-16 12:00:00,19990116,1999,1,16,-12.7777777777778,-1.88888888888889,-6.27777777777778,0,NA,NA,FALSE,FALSE
1999-01-17 12:00:00,19990117,1999,1,17,-6.11111111111111,-3.22222222222222,-4.11111111111111,0,NA,NA,FALSE,FALSE
1999-01-18 12:00:00,19990118,1999,1,18,-4.5,-1.77777777777778,-2.88888888888889,0,NA,NA,FALSE,FALSE
1999-01-19 12:00:00,19990119,1999,1,19,-4.72222222222222,-2.11111111111111,-2.77777777777778,0,NA,NA,FALSE,FALSE
1999-01-20 12:00:00,19990120,1999,1,20,-1.61111111111111,1.22222222222222,-0.444444444444445,0,NA,NA,FALSE,FALSE
1999-01-21 12:00:00,19990121,1999,1,21,-3.88888888888889,-0.111111111111111,-1.77777777777778,0,NA,NA,FALSE,FALSE
1999-01-22 12:00:00,19990122,1999,1,22,-5.72222222222222,-3.61111111111111,-4.66666666666667,0,NA,NA,FALSE,FALSE
1999-01-23 12:00:00,19990123,1999,1,23,-16.5203619909502,-9.99019607843137,NA,NA,"daily_SARNA","daily_SARNA",FALSE,FALSE
1999-01-24 12:00:00,19990124,1999,1,24,-9.02036199095023,-2.60130718954248,NA,NA,"daily_SARNA","daily_SARNA",FALSE,FALSE
1999-01-25 12:00:00,19990125,1999,1,25,-8.63147310206134,-6.37908496732026,NA,NA,"daily_SARNA","daily_SARNA",FALSE,FALSE
1999-01-26 12:00:00,19990126,1999,1,26,-23.4092508798391,-15.4901960784314,NA,NA,"daily_SARNA","daily_SARNA",FALSE,FALSE
1999-01-27 12:00:00,19990127,1999,1,27,-25.2777777777778,-12.2222222222222,-22.2222222222222,0,NA,NA,FALSE,FALSE
1999-01-28 12:00:00,19990128,1999,1,28,-25.2222222222222,-10.3888888888889,-16.1666666666667,0,NA,NA,FALSE,FALSE
1999-01-29 12:00:00,19990129,1999,1,29,-12.5,-8,-9.5,0,NA,NA,FALSE,FALSE
1999-01-30 12:00:00,19990130,1999,1,30,-9.5,-5.38888888888889,-7.55555555555556,0,NA,NA,FALSE,FALSE
1999-01-31 12:00:00,19990131,1999,1,31,-6.5,3.27777777777778,0.0555555555555563,0,NA,NA,FALSE,FALSE
1999-02-01 12:00:00,19990201,1999,2,1,0.777777777777777,2.61111111111111,1.88888888888889,0,NA,NA,FALSE,FALSE
1999-02-02 12:00:00,19990202,1999,2,2,-2.11111111111111,2.72222222222222,0.222222222222221,0,NA,NA,FALSE,FALSE
1999-02-03 12:00:00,19990203,1999,2,3,-5.5,0.499999999999999,-3.38888888888889,0,NA,NA,FALSE,FALSE
1999-02-04 12:00:00,19990204,1999,2,4,-7.22222222222222,1.38888888888889,-3.55555555555555,0,NA,NA,FALSE,FALSE
1999-02-05 12:00:00,19990205,1999,2,5,-11.7777777777778,-4.38888888888889,-8.16666666666667,0,NA,NA,FALSE,FALSE
1999-02-06 12:00:00,19990206,1999,2,6,-11.7222222222222,-8,-10.3888888888889,0,NA,NA,FALSE,FALSE
1999-02-07 12:00:00,19990207,1999,2,7,-13.7222222222222,-9.61111111111111,-11.7777777777778,0,NA,NA,FALSE,FALSE
1999-02-08 12:00:00,19990208,1999,2,8,-15.7222222222222,-11.7222222222222,-13.8888888888889,0,NA,NA,FALSE,FALSE
1999-02-09 12:00:00,19990209,1999,2,9,-15.7222222222222,-12.2777777777778,-13.8333333333333,0,NA,NA,FALSE,FALSE
1999-02-10 12:00:00,19990210,1999,2,10,-15.8888888888889,-10.2777777777778,-12.0555555555556,0,NA,NA,FALSE,FALSE
