"Year","pheno","Chill_Tmean","Heat_Tmean","Year_Tmean"
1958,129,2.60351562502344,3.14633620690948,6.90345303868232
1959,104,2.96538461538462,5.06034482758621,9.88182191780822
1960,115,3.01472323262637,4.96305874283621,9.88952135018852
1961,99,3.39130434782609,6.47650862068966,9.57211210382192
1962,134,2.01043956043956,3.78620689655172,8.99425821721918
1963,127,-4.51071428571429,0.280818965517241,7.18664383561644
1964,126,0.176098901098901,3.43469827586207,8.93359003454918
1965,131,1.31266304347826,3.67025862068966,9.00497260273973
1966,116,3.33571428571429,4.76896551724138,9.34650684931507
1967,120,3.97472527472527,5.30129310344828,9.5595205479452
1968,122,1.73076923076923,4.48189655172414,9.59897540983606
1969,125,0.811141304347826,3.47650862068966,8.82821917808219
1970,134,-0.666758241758242,2.55086206896552,8.83897260273973
1971,123,1.11043956043956,3.64051724137931,9.21739726027397
1972,121,2.82582417582418,4.32887931034483,9.21161202185792
1973,133,1.97445652173913,3.30387931034483,8.70013698630137
1974,102,3.70054945054945,5.95043103448276,9.61712328767123
1975,119,6.13791208791209,6.27887931034483,10.3680821917808
1976,126,3.20549450549451,4.68836206896552,10.0837704918033
1977,124,3.78940217391304,6.05150862068966,10.2484246575342
1978,124,2.30159802775275,3.87068965517241,8.96491896034384
1979,134,-0.0329670329670329,2.40043103448276,8.3713698630137
1980,127,3.06263736263736,4.19439655172414,9.20040983606557
1981,105,1.69130434782609,4.8176724137931,9.43294520547945
1982,130,0.553846153846154,3.43146551724138,8.85369863013699
1983,123,2.73901098901099,4.66939655172414,9.87424657534247
1984,129,2.75879120879121,3.87629310344828,9.27021857923497
1985,133,-0.495652173913044,1.88448275862069,8.54739726027397
1986,131,0.233516483516483,1.81336206896552,8.58931506849315
1987,121,0.147802197802198,2.19224137931035,8.47369863013699
1988,121,4.42307692307692,5.49310344827586,9.88360655737705
1989,110,4.70489130434783,5.89224137931035,10.0997260273973
1990,95,5.49395604395604,6.99396551724138,10.7652054794521
1991,106,1.87252747252747,4.57198275862069,9.14510348137534
1992,117,3.32527472527473,5.22155172413793,10.079781420765
1993,116,2.54945652173913,5.325,10.1539726027397
1994,116,3.80769230769231,5.43146551724138,9.42712328767123
1995,117,4.53626373626374,5.63577586206897,10.6886301369863
1996,121,-0.209340659340659,2.91810344827586,9.26612021857924
1997,107,1.31032608695652,4.96422413793103,9.11561643835616
1998,109,5.0021978021978,6.46637931034483,10.7917808219178
1999,113,3.95824175824176,5.85043103448276,9.88806849315069
2000,113,4.1521978021978,6.29224137931034,11.1368852459016
2001,122,3.50217391304348,4.97586206896552,10.3219178082192
2002,100,3.32142857142857,6.60387931034483,11.0824657534247
2003,113,2.1,4.77112068965517,10.7753424657534
2004,113,3.07142857142857,5.57155172413793,10.608606557377
2005,113,1.9,5.45086206896552,10.3802739726027
2006,124,1.01538461538462,3.58318965517241,10.1928767123288
2007,104,5.85274725274725,7.6625,12.4516438356164
2008,115,4.34236263736264,5.8048275862069,10.0872950819672
2009,109,1.14157608695652,4.76698275862069,9.54965753424658
2010,115,0.371043956043956,3.34797413793103,9.59106849315068
2011,101,1.72203296703297,6.28362068965517,10.0424246575342
2012,111,3.13730769230769,4.71728448275862,10.3985928961749
2013,123,1.94711956521739,2.92556034482759,9.13472602739726
2014,94,5.34857142857143,7.56413793103448,11.081904109589
2015,111,3.46494505494505,5.22224137931035,10.4321643835616
2016,114,5.35236263736264,5.28103448275862,10.9037978142076
2017,100,3.0920652173913,5.29883620689655,10.5835205479452
2018,109,3.45197802197802,5.73025862068966,11.0171506849315
